applicable,calculation_reason,f1,false_negative,false_positive,patient,precision,question_id,question_number,reason_not_applicable,recall,system,true_positive,turn_id
True,claim_level_precision_recall_f1_without_claim_id_matching,0.25,5,1,SYN-CSM-003,0.5,4366257c-d58a-46ea-b76c-c4daa784c892,1,,0.16666666666666666,long_context,1,39e73bfa-0157-4c1c-b597-6a7d487970da
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4444444444444444,4,1,SYN-CSM-003,0.6666666666666666,4366257c-d58a-46ea-b76c-c4daa784c892,1,,0.3333333333333333,dense_rag,2,43e37bd1-1c5c-4eaf-b378-5358d50168eb
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,6,3,SYN-CSM-003,0.0,4366257c-d58a-46ea-b76c-c4daa784c892,1,,0.0,rolling_summary,0,55bad451-029e-400b-9b0a-c1239952e0a5
True,claim_level_precision_recall_f1_without_claim_id_matching,0.2222222222222222,5,2,SYN-CSM-003,0.3333333333333333,4366257c-d58a-46ea-b76c-c4daa784c892,1,,0.16666666666666666,csm,1,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4444444444444444,4,1,SYN-CSM-003,0.6666666666666666,4366257c-d58a-46ea-b76c-c4daa784c892,1,,0.3333333333333333,graph_rag,2,92e98184-f8d0-456f-8826-e77bc4cfa374
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4444444444444444,4,1,SYN-CSM-003,0.6666666666666666,4366257c-d58a-46ea-b76c-c4daa784c892,1,,0.3333333333333333,hybrid_rag,2,a6078951-90be-4c64-9315-f2f2339d9019
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4444444444444444,4,1,SYN-CSM-003,0.6666666666666666,4366257c-d58a-46ea-b76c-c4daa784c892,1,,0.3333333333333333,hippo_rag,2,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-003,1.0,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,0.5,hybrid_rag,1,62e4a7bd-507b-4051-b457-ddc78e19fc04
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-003,1.0,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,0.5,dense_rag,1,7e8001ec-a8f9-4572-8a6a-091f04df372b
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-003,1.0,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,0.5,rolling_summary,1,8aa5e22a-bc78-43fa-a71f-d333f7fad027
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-003,1.0,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,0.5,hippo_rag,1,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-003,1.0,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,0.5,graph_rag,1,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-003,1.0,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,0.5,long_context,1,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-003,1.0,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,0.5,csm,1,d947f258-73aa-4012-87e1-7706d5a305ee
True,claim_level_precision_recall_f1_without_claim_id_matching,0.25,3,3,SYN-CSM-003,0.25,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,0.25,hybrid_rag,1,21cfa5df-cf09-486b-b215-66e9d68f04ea
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,3,SYN-CSM-003,0.0,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,0.0,csm,0,263069d8-6a50-499c-953a-78cc45302961
True,claim_level_precision_recall_f1_without_claim_id_matching,0.5714285714285715,2,1,SYN-CSM-003,0.6666666666666666,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,0.5,hippo_rag,2,3c84530d-5e39-4eb0-9adb-88aa9abfec97
True,claim_level_precision_recall_f1_without_claim_id_matching,0.3333333333333333,3,1,SYN-CSM-003,0.5,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,0.25,rolling_summary,1,b0453bcb-b2ea-41bb-b986-485d2dbc521f
False,claim_level_precision_recall_f1_without_claim_id_matching,,4,0,SYN-CSM-003,,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,no_generated_or_expected_factual_claims,0.0,long_context,0,b1e6c286-91d7-4544-8a38-37774c6540ff
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4444444444444445,2,3,SYN-CSM-003,0.4,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,0.5,dense_rag,2,e1936e97-d490-4707-b13b-03ca9e74b7e1
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-003,1.0,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,0.25,graph_rag,1,ee13d69e-8db6-4aa0-a80e-6ee78712258b
False,claim_level_precision_recall_f1_without_claim_id_matching,,4,0,SYN-CSM-003,,07dad0fb-83da-47f4-9994-a025b0de8c54,4,no_generated_or_expected_factual_claims,0.0,rolling_summary,0,1a121d5e-6578-4176-9a64-b7a205a83f78
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-003,1.0,07dad0fb-83da-47f4-9994-a025b0de8c54,4,,0.25,dense_rag,1,5807771b-bfab-411a-b97f-7aaa208081c3
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-003,1.0,07dad0fb-83da-47f4-9994-a025b0de8c54,4,,0.25,hybrid_rag,1,720d9123-527f-4d0d-8b02-ccada6b61f71
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-003,1.0,07dad0fb-83da-47f4-9994-a025b0de8c54,4,,0.25,hippo_rag,1,93281d48-0ab2-4b9f-ad3d-8149d80de723
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-003,0.0,07dad0fb-83da-47f4-9994-a025b0de8c54,4,,0.0,csm,0,a3ad416c-5400-4306-a009-0ba41bc63e90
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-003,1.0,07dad0fb-83da-47f4-9994-a025b0de8c54,4,,0.25,graph_rag,1,b0ac1a3d-ccba-47dc-9d0a-b011e90f7b92
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-003,0.0,07dad0fb-83da-47f4-9994-a025b0de8c54,4,,0.0,long_context,0,cd2fd90f-1faf-450f-9392-d073d576d653
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-003,0.0,c89f4283-5571-478e-9046-b564fa3cbd32,5,,0.0,graph_rag,0,0e5ce13b-4182-453e-8896-f9c35f3b5a4e
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-003,0.0,c89f4283-5571-478e-9046-b564fa3cbd32,5,,0.0,hybrid_rag,0,220789e9-ac5b-49be-b431-f0dd911a3d7b
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-003,0.0,c89f4283-5571-478e-9046-b564fa3cbd32,5,,0.0,csm,0,640dcc39-fb69-4fec-8012-1341a3b6a525
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-003,0.0,c89f4283-5571-478e-9046-b564fa3cbd32,5,,0.0,dense_rag,0,98e02991-3f14-4280-bf8b-a5d3060c1e1f
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-003,0.0,c89f4283-5571-478e-9046-b564fa3cbd32,5,,0.0,long_context,0,b64715ed-fe85-44a7-b742-c12ad10a383d
