metric_name,observation_count,rank,system,value
state_accuracy,3,1,csm,0.16666666666666666
temporal_consistency,8,1,csm,0.6666666666666666
temporal_consistency,8,2,dense_rag,0.625
temporal_consistency,8,3,graph_rag,0.5833333333333334
temporal_consistency,8,4,long_context,0.5416666666666666
temporal_consistency,8,4,rolling_summary,0.5416666666666666
temporal_consistency,8,6,hybrid_rag,0.5
temporal_consistency,8,6,hippo_rag,0.5
decision_f1,1,1,long_context,0.0
decision_f1,1,1,rolling_summary,0.0
decision_f1,1,1,dense_rag,0.0
decision_f1,1,1,hybrid_rag,0.0
decision_f1,1,1,graph_rag,0.0
decision_f1,1,1,hippo_rag,0.0
decision_f1,1,1,csm,0.0
answer_accuracy,20,1,graph_rag,0.2569444444444445
answer_accuracy,20,2,hybrid_rag,0.24864845938375352
answer_accuracy,19,3,hippo_rag,0.21925647451963243
answer_accuracy,20,4,dense_rag,0.19847222222222222
answer_accuracy,19,5,rolling_summary,0.16491228070175437
answer_accuracy,18,6,long_context,0.15833333333333333
answer_accuracy,20,7,csm,0.14606725146198832
hallucination_rate,19,1,rolling_summary,0.0
hallucination_rate,20,1,dense_rag,0.0
hallucination_rate,20,1,hybrid_rag,0.0
hallucination_rate,20,1,graph_rag,0.0
hallucination_rate,19,1,hippo_rag,0.0
hallucination_rate,20,6,csm,0.075
hallucination_rate,18,7,long_context,0.20833333333333334
evidence_support_rate,20,1,graph_rag,0.6958333333333334
evidence_support_rate,20,2,hybrid_rag,0.6812500000000001
evidence_support_rate,19,3,hippo_rag,0.6633771929824562
evidence_support_rate,20,4,dense_rag,0.6358333333333333
evidence_support_rate,19,5,rolling_summary,0.606359649122807
evidence_support_rate,20,6,csm,0.5607142857142857
evidence_support_rate,18,7,long_context,0.5104166666666666
unsupported_claim_rate,19,1,rolling_summary,0.0
unsupported_claim_rate,20,1,dense_rag,0.0
unsupported_claim_rate,20,1,hybrid_rag,0.0
unsupported_claim_rate,20,1,graph_rag,0.0
unsupported_claim_rate,19,1,hippo_rag,0.0
unsupported_claim_rate,20,6,csm,0.075
unsupported_claim_rate,18,7,long_context,0.20833333333333334
fabricated_citation_rate,16,1,long_context,0.0
fabricated_citation_rate,20,1,rolling_summary,0.0
fabricated_citation_rate,20,1,dense_rag,0.0
fabricated_citation_rate,20,1,hybrid_rag,0.0
fabricated_citation_rate,20,1,graph_rag,0.0
fabricated_citation_rate,20,1,hippo_rag,0.0
fabricated_citation_rate,19,1,csm,0.0
faithfulness,20,1,graph_rag,0.6958333333333334
faithfulness,20,2,hybrid_rag,0.6812500000000001
faithfulness,19,3,hippo_rag,0.6633771929824562
faithfulness,20,4,dense_rag,0.6358333333333333
faithfulness,19,5,rolling_summary,0.606359649122807
faithfulness,20,6,csm,0.5607142857142857
faithfulness,18,7,long_context,0.5104166666666666
groundedness,20,1,graph_rag,0.6958333333333334
groundedness,20,2,hybrid_rag,0.6812500000000001
groundedness,19,3,hippo_rag,0.6633771929824562
groundedness,20,4,dense_rag,0.6358333333333333
groundedness,19,5,rolling_summary,0.606359649122807
groundedness,20,6,csm,0.5607142857142857
groundedness,18,7,long_context,0.5104166666666666
expected_calibration_error,18,1,rolling_summary,0.06342592592592593
expected_calibration_error,19,2,csm,0.08664160401002509
expected_calibration_error,16,3,graph_rag,0.11510416666666666
expected_calibration_error,7,4,long_context,0.13071428571428573
expected_calibration_error,19,5,hippo_rag,0.14530701754385963
expected_calibration_error,15,6,hybrid_rag,0.1658
expected_calibration_error,16,7,dense_rag,0.18041666666666667
lineage_citation_f1,20,1,hybrid_rag,0.3831219600998888
lineage_citation_f1,20,2,hippo_rag,0.3671688078946143
lineage_citation_f1,20,3,dense_rag,0.35638478379857697
lineage_citation_f1,20,4,graph_rag,0.34624098124098124
lineage_citation_f1,19,5,csm,0.15190058479532165
lineage_citation_f1,16,6,long_context,0.13125
lineage_citation_f1,20,7,rolling_summary,0.11134510125889438
correction_recovery,10,1,rolling_summary,0.225
correction_recovery,10,2,dense_rag,0.2
correction_recovery,10,2,hybrid_rag,0.2
correction_recovery,10,2,csm,0.2
correction_recovery,10,5,graph_rag,0.15
correction_recovery,10,5,hippo_rag,0.15
correction_recovery,10,7,long_context,0.125
retrieval_precision,20,1,dense_rag,0.20791895604395605
retrieval_precision,20,2,hybrid_rag,0.19445283882783881
retrieval_precision,20,3,hippo_rag,0.16771013708513707
retrieval_precision,20,4,graph_rag,0.162630772005772
retrieval_precision,20,5,rolling_summary,0.10555555555555556
retrieval_precision,20,6,csm,0.07116071428571427
retrieval_precision,20,7,long_context,0.04375
retrieval_recall,20,1,dense_rag,0.5188471713471714
retrieval_recall,20,2,hybrid_rag,0.5162708587708589
retrieval_recall,20,3,hippo_rag,0.4354741554741556
retrieval_recall,20,4,graph_rag,0.3969057794057794
retrieval_recall,20,5,csm,0.18
retrieval_recall,20,6,rolling_summary,0.16256003256003254
retrieval_recall,20,7,long_context,0.075
activation_precision,20,1,csm,0.07116071428571427
activation_recall,20,1,csm,0.18
tokens_per_query,20,1,long_context,1606.55
tokens_per_query,20,2,dense_rag,1946.9
tokens_per_query,20,3,hippo_rag,2014.2
tokens_per_query,20,4,hybrid_rag,2038.9
tokens_per_query,20,5,graph_rag,2055.05
tokens_per_query,20,6,rolling_summary,2665.85
tokens_per_query,20,7,csm,2806.8
p95_latency,20,1,dense_rag,24670.0
p95_latency,20,2,hybrid_rag,28076.0
p95_latency,20,3,long_context,31398.0
p95_latency,20,4,hippo_rag,128087.0
p95_latency,20,5,csm,128117.0
p95_latency,20,6,graph_rag,128680.0
p95_latency,20,7,rolling_summary,129182.0
provider_generation_latency_ms,20,1,long_context,18764.25
provider_generation_latency_ms,20,2,dense_rag,21457.05
provider_generation_latency_ms,20,3,hybrid_rag,26977.65
provider_generation_latency_ms,20,4,rolling_summary,90120.7
provider_generation_latency_ms,20,5,hippo_rag,125541.95
provider_generation_latency_ms,20,6,csm,126951.45
provider_generation_latency_ms,20,7,graph_rag,133143.8
retrieval_activation_latency_ms,20,1,graph_rag,7.8
retrieval_activation_latency_ms,20,2,long_context,9.05
retrieval_activation_latency_ms,20,3,rolling_summary,10.4
retrieval_activation_latency_ms,20,4,hippo_rag,26.35
retrieval_activation_latency_ms,20,5,hybrid_rag,33.5
retrieval_activation_latency_ms,20,6,dense_rag,33.75
retrieval_activation_latency_ms,20,7,csm,38.2
processing_latency_ms,20,1,long_context,18764.25
processing_latency_ms,20,2,dense_rag,21457.05
processing_latency_ms,20,3,hybrid_rag,26977.65
processing_latency_ms,20,4,rolling_summary,90120.7
processing_latency_ms,20,5,hippo_rag,125541.95
processing_latency_ms,20,6,csm,126951.45
processing_latency_ms,20,7,graph_rag,133143.8
operational_wall_clock_latency_ms,20,1,long_context,18773.3
operational_wall_clock_latency_ms,20,2,dense_rag,21490.8
operational_wall_clock_latency_ms,20,3,hybrid_rag,27011.15
operational_wall_clock_latency_ms,20,4,rolling_summary,90131.1
operational_wall_clock_latency_ms,20,5,hippo_rag,125568.3
operational_wall_clock_latency_ms,20,6,csm,126989.65
operational_wall_clock_latency_ms,20,7,graph_rag,133151.6
online_query_cost,20,1,long_context,0.0003905400000000001
online_query_cost,20,2,dense_rag,0.0004770299999999998
online_query_cost,20,3,graph_rag,0.0004935
online_query_cost,20,4,hippo_rag,0.0004983075
online_query_cost,20,5,hybrid_rag,0.000500595
online_query_cost,20,6,csm,0.0005911425
online_query_cost,20,7,rolling_summary,0.0006041999999999998
offline_csm_update_cost,20,1,csm,0.0
total_cost,20,1,long_context,0.007810800000000001
total_cost,20,2,dense_rag,0.009540599999999996
total_cost,20,3,graph_rag,0.00987
total_cost,20,4,hippo_rag,0.00996615
total_cost,20,5,hybrid_rag,0.010011899999999999
total_cost,20,6,csm,0.01182285
total_cost,20,7,rolling_summary,0.012083999999999998
memory_update_accuracy,3,1,hippo_rag,0.5333333333333333
memory_update_accuracy,3,2,graph_rag,0.3666666666666667
memory_update_accuracy,3,3,rolling_summary,0.19999999999999998
memory_update_accuracy,3,3,dense_rag,0.19999999999999998
memory_update_accuracy,3,3,hybrid_rag,0.19999999999999998
memory_update_accuracy,3,3,csm,0.19999999999999998
memory_update_accuracy,3,7,long_context,0.0
state_recovery_time,8,1,csm,1.0
