answer_accuracy,answer_hash,contradiction_handling,correction_recovery,decision_f1,evidence_support_rate,expected_calibration_error,fabricated_citation_rate,faithfulness,groundedness,hallucination_rate,lineage_citation_f1,memory_update_accuracy,p95_latency,patient,question_id,question_number,retrieval_precision,retrieval_recall,state_accuracy,state_recovery_time,system,temporal_consistency,tokens_per_query,total_cost,turn_id,unsupported_claim_rate
0.25,1018fff42b064a11f5d1e93e887f39d93b5a3016d34aeddeae623ec8f9ddc6c1,,,,0.75,,0.0,0.75,0.75,0.0,0.5,,5125,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,0.375,0.5,,,long_context,,1499,0.0003576,39e73bfa-0157-4c1c-b597-6a7d487970da,0.0
0.4444444444444444,0c947f8d15d37c2e39052c9282de9a9cdec6f6b2cf7e4aa1b94bb7748c381a81,,,,0.8333333333333334,,0.0,0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,,22982,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,0.4,0.6666666666666666,,,dense_rag,,1826,0.00045975,43e37bd1-1c5c-4eaf-b378-5358d50168eb,0.0
0.0,40ebf358eeb85d24a7edeb9407b22dfa53c7fbe242c4dac81a62405c4f2b659c,1.0,,,0.5,0.0,0.0,0.5,0.5,0.0,0.0,,38690,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,0.0,0.0,,,rolling_summary,,1754,0.00045749999999999995,55bad451-029e-400b-9b0a-c1239952e0a5,0.0
0.2222222222222222,cce66ce1d20ca5d67c07216fde194c92aed0c4d8bda4e72a3b9e6c3d7f53edf5,,,,0.6666666666666666,0.050000000000000044,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,,127715,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,0.375,0.5,,,csm,,2821,0.00065445,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd,0.0
0.4444444444444444,0c947f8d15d37c2e39052c9282de9a9cdec6f6b2cf7e4aa1b94bb7748c381a81,,,,0.8333333333333334,0.050000000000000044,0.0,0.8333333333333334,0.8333333333333334,0.0,0.5,,126626,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,0.3,0.5,,,graph_rag,,1737,0.000441,92e98184-f8d0-456f-8826-e77bc4cfa374,0.0
0.4444444444444444,0c947f8d15d37c2e39052c9282de9a9cdec6f6b2cf7e4aa1b94bb7748c381a81,,,,0.8333333333333334,0.09999999999999998,0.0,0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,,26251,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,0.4,0.6666666666666666,,,hybrid_rag,,1824,0.00045719999999999995,a6078951-90be-4c64-9315-f2f2339d9019,0.0
0.4444444444444444,0c947f8d15d37c2e39052c9282de9a9cdec6f6b2cf7e4aa1b94bb7748c381a81,,,,0.8333333333333334,,0.0,0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,,127210,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,0.3,0.5,,,hippo_rag,,1777,0.00046455,d8b7ad55-8462-4716-a22b-fbd0eb18fda3,0.0
0.6666666666666666,350c8bd8850a0426543b8f93286331f7a26ed310fabcda6c0982936cec0bb8eb,,,,1.0,,0.0,1.0,1.0,0.0,0.6666666666666666,,21879,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,0.14285714285714285,0.5,,,hybrid_rag,,1781,0.00036074999999999996,62e4a7bd-507b-4051-b457-ddc78e19fc04,0.0
0.6666666666666666,350c8bd8850a0426543b8f93286331f7a26ed310fabcda6c0982936cec0bb8eb,,,,1.0,0.09999999999999998,0.0,1.0,1.0,0.0,0.6666666666666666,,23671,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,0.14285714285714285,0.5,,,dense_rag,,1774,0.000366,7e8001ec-a8f9-4572-8a6a-091f04df372b,0.0
0.6666666666666666,6d7938a16f3f608fea38e5438558883cc2857ffc2f39e6658b31b495b8753e45,,,,1.0,,0.0,1.0,1.0,0.0,0.0,,31193,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,0.0,0.0,,,rolling_summary,,1494,0.00030734999999999996,8aa5e22a-bc78-43fa-a71f-d333f7fad027,0.0
