activation_run_id,calculation_reason,confidence_score,dependency_score,estimated_token_cost,linked_canonical_source_ids,linked_evidence_ids,query_text,rank,relevance_score,selected,selection_reason,state_variable_id,utility_score
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,224,"[""ea919ae5-2472-4ef6-85a9-e626199b7157""]","[""946f1a1a-3334-4a63-96c9-8230abc38a5a""]",What cardiovascular condition and medicines are active at baseline?,1,0.5555555555555556,True,selected_state_state_first route=state_first,8e19058d-5fbb-4d83-adaf-75498c26bf02,0.7593333329087881
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,202,"[""5c05a6f5-73c3-40ce-b489-9e78826d7e30""]","[""2d38e040-df2b-4b9c-a20b-4627489b383a""]",What cardiovascular condition and medicines are active at baseline?,2,0.3333333333333333,True,selected_state_state_first route=state_first,f0775073-d7d8-4277-9df4-cac588995121,0.7109999996461795
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,200,"[""78d14e72-cdd1-4822-8b6c-e3300c0baf2b"", ""5a6b266b-39ea-4979-9d99-067d4a79eadc"", ""2eb49637-d46b-497e-9788-29ddb867d3bc""]","[""4ca6f5b9-b799-4e22-a6ba-571bdb7ae092"", ""f02cb59c-909e-40bb-88fc-104c79787cbf"", ""31594de4-574c-4223-bcd1-2dfdc397d491""]",What cardiovascular condition and medicines are active at baseline?,3,0.3333333333333333,True,selected_state_state_first route=state_first,292d294b-5707-492d-9b51-5ac5f0691b11,0.6659999997906545
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,197,"[""4e13f76b-deab-47b5-94a0-d13b01eea584""]","[""1247639c-d4b2-48d6-b116-fd29f3df1542""]",What cardiovascular condition and medicines are active at baseline?,4,0.2222222222222222,True,selected_state_state_first route=state_first,036f1a49-6d21-4b5b-9460-e27cdc30881f,0.619333333086446
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,183,"[""52f1e0d3-7b1e-4fdb-97d7-386d643d0c99""]","[""862758d2-f094-4b86-b9dd-611c1658db0b""]",What cardiovascular condition and medicines are active at baseline?,5,0.2222222222222222,True,selected_state_state_first route=state_first,12749efe-e52f-419c-b6e7-76c0419de4ce,0.6193333330506202
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,193,"[""9ed89967-8788-465f-bd08-3dfeb36c7f7b"", ""2fb589b0-57c2-4fe2-8a67-45b2971965b0""]","[""be604ac2-4959-4813-a0a2-195cbb7f783e"", ""8d8d5e43-178e-451f-8acc-d43b15b4bf45""]",What cardiovascular condition and medicines are active at baseline?,6,0.2222222222222222,True,selected_state_state_first route=state_first,380be0d4-ed7f-4344-90dd-1337edd2218f,0.6193333330164346
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,172,"[""9ed89967-8788-465f-bd08-3dfeb36c7f7b"", ""2fb589b0-57c2-4fe2-8a67-45b2971965b0""]","[""be604ac2-4959-4813-a0a2-195cbb7f783e"", ""8d8d5e43-178e-451f-8acc-d43b15b4bf45""]",What cardiovascular condition and medicines are active at baseline?,7,0.2222222222222222,True,selected_state_state_first route=state_first,c6e5837d-e47e-4072-b917-99cafadfdb2c,0.6149648876606715
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,0.3333333333333333,190,"[""b85ded5f-dc7a-4ddc-93b1-2ae4b51ccd78""]","[""cccc007a-b65b-4353-9bac-b1fbc147ce9f""]",What cardiovascular condition and medicines are active at baseline?,8,0.3333333333333333,True,selected_state_state_first route=state_first,1457949c-f72a-4a94-9eb8-0c2b0375ede9,0.5949648877424693
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,0.3333333333333333,207,"[""145a1a47-3231-43a9-8d23-24880122e956""]","[""dcbbd0b0-d60f-4bcf-bd2b-9ea98c1f9b72""]",What cardiovascular condition and medicines are active at baseline?,9,0.3333333333333333,True,selected_state_state_first route=state_first,afc3656a-1119-4275-9271-6c514c0a7ff3,0.5949648877257433
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,0.3333333333333333,193,"[""dde77447-7e75-4eed-96b6-133e1d7bcc76""]","[""af737b12-122f-4e15-bc4b-aef9d7fc9971""]",What cardiovascular condition and medicines are active at baseline?,10,0.3333333333333333,True,selected_state_state_first route=state_first,dde5ea66-7f0d-4054-a162-9f33d77bf67b,0.594964887620772
96bdb07e-4f44-4c57-85cc-917e27f06599,activated_state_resolved_through_csm_state_evidence_links,0.95,0.6666666666666666,180,"[""78d14e72-cdd1-4822-8b6c-e3300c0baf2b"", ""5a6b266b-39ea-4979-9d99-067d4a79eadc"", ""2eb49637-d46b-497e-9788-29ddb867d3bc""]","[""4ca6f5b9-b799-4e22-a6ba-571bdb7ae092"", ""f02cb59c-909e-40bb-88fc-104c79787cbf"", ""31594de4-574c-4223-bcd1-2dfdc397d491""]",What cardiovascular condition and medicines are active at baseline?,11,0.2222222222222222,True,selected_state_state_first route=state_first,a2a2d5dc-73a8-4261-9dd5-0959e9b2cfad,0.5816315543843006
