ci_high,ci_low,completed_turns,direction,iqr,max,mean,median,metric_name,min,observation_count,patient,questions,reason_not_applicable,repetitions,stddev,system,systems,total_rows,value
,,140,higher_is_better,,,,,state_accuracy,,0,SYN-CSM-001,20,state_table_metric_only_applicable_to_csm,1,,long_context,7,20,
0.771874999999999,0.3114583333333334,140,higher_is_better,0.4166666666666667,1.0,0.5416666666666666,0.5,temporal_consistency,0.0,8,SYN-CSM-001,20,,1,0.3535533905932738,long_context,7,20,0.5416666666666666
0.0,0.0,140,higher_is_better,0.0,0.0,0.0,0.0,decision_f1,0.0,1,SYN-CSM-001,20,,1,0.0,long_context,7,20,0.0
0.2777777777777778,0.05092592592592592,140,higher_is_better,0.2125,0.6666666666666666,0.15833333333333333,0.0,answer_accuracy,0.0,18,SYN-CSM-001,20,,1,0.26619136563242407,long_context,7,20,0.15833333333333333
0.37962962962962965,0.05555555555555555,140,lower_is_better,0.25,1.0,0.20833333333333334,0.0,hallucination_rate,0.0,18,SYN-CSM-001,20,,1,0.3707548385750311,long_context,7,20,0.20833333333333334
0.6469907407407408,0.3871238425925926,140,higher_is_better,0.328125,1.0,0.5104166666666666,0.5,evidence_support_rate,0.0,18,SYN-CSM-001,20,,1,0.31215258466191037,long_context,7,20,0.5104166666666666
0.37962962962962965,0.05555555555555555,140,lower_is_better,0.25,1.0,0.20833333333333334,0.0,unsupported_claim_rate,0.0,18,SYN-CSM-001,20,,1,0.3707548385750311,long_context,7,20,0.20833333333333334
0.0,0.0,140,lower_is_better,0.0,0.0,0.0,0.0,fabricated_citation_rate,0.0,16,SYN-CSM-001,20,,1,0.0,long_context,7,20,0.0
0.6469907407407408,0.3871238425925926,140,higher_is_better,0.328125,1.0,0.5104166666666666,0.5,faithfulness,0.0,18,SYN-CSM-001,20,,1,0.31215258466191037,long_context,7,20,0.5104166666666666
0.6469907407407408,0.3871238425925926,140,higher_is_better,0.328125,1.0,0.5104166666666666,0.5,groundedness,0.0,18,SYN-CSM-001,20,,1,0.31215258466191037,long_context,7,20,0.5104166666666666
0.30428571428571427,0.024999999999999998,140,lower_is_better,0.10999999999999997,0.62,0.13071428571428573,0.07500000000000001,expected_calibration_error,0.0,7,SYN-CSM-001,20,,1,0.22166845684919803,long_context,7,20,0.13071428571428573
0.23124999999999998,0.05,140,higher_is_better,0.4,0.5,0.13125,0.0,lineage_citation_f1,0.0,16,SYN-CSM-001,20,,1,0.2023816526598529,long_context,7,20,0.13125
,,140,higher_is_better,,,,,contradiction_handling,,0,SYN-CSM-001,20,no_ground_truth_contradiction,1,,long_context,7,20,
0.2,0.05,140,higher_is_better,0.25,0.25,0.125,0.125,correction_recovery,0.0,10,SYN-CSM-001,20,,1,0.13176156917368248,long_context,7,20,0.125
0.0875,0.0125,140,higher_is_better,0.03125,0.375,0.04375,0.0,retrieval_precision,0.0,20,SYN-CSM-001,20,,1,0.09314497754632432,long_context,7,20,0.04375
0.1375,0.025,140,higher_is_better,0.0625,0.5,0.075,0.0,retrieval_recall,0.0,20,SYN-CSM-001,20,,1,0.14281014264436984,long_context,7,20,0.075
,,140,higher_is_better,,,,,activation_precision,,0,SYN-CSM-001,20,activation_metric_only_applicable_to_csm,1,,long_context,7,20,
,,140,higher_is_better,,,,,activation_recall,,0,SYN-CSM-001,20,activation_metric_only_applicable_to_csm,1,,long_context,7,20,
1778.28375,1472.85125,140,lower_is_better,292.0,2713.0,1606.55,1477.5,tokens_per_query,1301.0,20,SYN-CSM-001,20,,1,363.62378982447746,long_context,7,20,1606.55
23278.796249999996,14644.3825,140,lower_is_better,9339.0,50352.0,18764.25,18834.5,p95_latency,4874.0,20,SYN-CSM-001,20,,1,10546.804599024294,long_context,7,20,31398.0
23278.796249999996,14644.3825,140,lower_is_better,9339.0,50352.0,18764.25,18834.5,provider_generation_latency_ms,4874.0,20,SYN-CSM-001,20,,1,10546.804599024294,long_context,7,20,18764.25
9.926249999999998,8.35,140,lower_is_better,2.25,13.0,9.05,8.0,retrieval_activation_latency_ms,7.0,20,SYN-CSM-001,20,,1,1.820208200931103,long_context,7,20,9.05
23278.796249999996,14644.3825,140,lower_is_better,9339.0,50352.0,18764.25,18834.5,processing_latency_ms,4874.0,20,SYN-CSM-001,20,,1,10546.804599024294,long_context,7,20,18764.25
23288.331249999996,14653.54,140,lower_is_better,9335.25,50365.0,18773.3,18842.0,operational_wall_clock_latency_ms,4882.0,20,SYN-CSM-001,20,,1,10547.302604033537,long_context,7,20,18773.3
0.0004680183749999999,0.00033556593750000007,140,lower_is_better,0.00017257499999999995,0.0008863499999999999,0.0003905400000000001,0.00034365000000000003,online_query_cost,0.00024375,20,SYN-CSM-001,20,,1,0.00015130285035753883,long_context,7,20,0.0003905400000000001
,,140,lower_is_better,,,,,offline_csm_update_cost,,0,SYN-CSM-001,20,offline_update_cost_only_recorded_for_csm,1,,long_context,7,20,
