csm,csm_n,dense_rag,dense_rag_n,graph_rag,graph_rag_n,hippo_rag,hippo_rag_n,hybrid_rag,hybrid_rag_n,long_context,long_context_n,metric_name,rolling_summary,rolling_summary_n
0.16666666666666666,3,,0,,0,,0,,0,,0,state_accuracy,,0
0.6666666666666666,8,0.625,8,0.5833333333333334,8,0.5,8,0.5,8,0.5416666666666666,8,temporal_consistency,0.5416666666666666,8
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,decision_f1,0.0,1
0.14606725146198832,20,0.19847222222222222,20,0.2569444444444445,20,0.21925647451963243,19,0.24864845938375352,20,0.15833333333333333,18,answer_accuracy,0.16491228070175437,19
0.075,20,0.0,20,0.0,20,0.0,19,0.0,20,0.20833333333333334,18,hallucination_rate,0.0,19
0.5607142857142857,20,0.6358333333333333,20,0.6958333333333334,20,0.6633771929824562,19,0.6812500000000001,20,0.5104166666666666,18,evidence_support_rate,0.606359649122807,19
0.075,20,0.0,20,0.0,20,0.0,19,0.0,20,0.20833333333333334,18,unsupported_claim_rate,0.0,19
0.0,19,0.0,20,0.0,20,0.0,20,0.0,20,0.0,16,fabricated_citation_rate,0.0,20
0.5607142857142857,20,0.6358333333333333,20,0.6958333333333334,20,0.6633771929824562,19,0.6812500000000001,20,0.5104166666666666,18,faithfulness,0.606359649122807,19
0.5607142857142857,20,0.6358333333333333,20,0.6958333333333334,20,0.6633771929824562,19,0.6812500000000001,20,0.5104166666666666,18,groundedness,0.606359649122807,19
0.08664160401002509,19,0.18041666666666667,16,0.11510416666666666,16,0.14530701754385963,19,0.1658,15,0.13071428571428573,7,expected_calibration_error,0.06342592592592593,18
0.15190058479532165,19,0.35638478379857697,20,0.34624098124098124,20,0.3671688078946143,20,0.3831219600998888,20,0.13125,16,lineage_citation_f1,0.11134510125889438,20
,0,,0,,0,,0,,0,,0,contradiction_handling,,0
0.2,10,0.2,10,0.15,10,0.15,10,0.2,10,0.125,10,correction_recovery,0.225,10
0.07116071428571427,20,0.20791895604395605,20,0.162630772005772,20,0.16771013708513707,20,0.19445283882783881,20,0.04375,20,retrieval_precision,0.10555555555555556,20
0.18,20,0.5188471713471714,20,0.3969057794057794,20,0.4354741554741556,20,0.5162708587708589,20,0.075,20,retrieval_recall,0.16256003256003254,20
2806.8,20,1946.9,20,2055.05,20,2014.2,20,2038.9,20,1606.55,20,tokens_per_query,2665.85,20
128117.0,20,24670.0,20,128680.0,20,128087.0,20,28076.0,20,31398.0,20,p95_latency,129182.0,20
0.01182285,20,0.009540599999999996,20,0.00987,20,0.00996615,20,0.010011899999999999,20,0.007810800000000001,20,total_cost,0.012083999999999998,20
0.19999999999999998,3,0.19999999999999998,3,0.3666666666666667,3,0.5333333333333333,3,0.19999999999999998,3,0.0,3,memory_update_accuracy,0.19999999999999998,3
1.0,8,,0,,0,,0,,0,,0,state_recovery_time,,0
