applicable,case_id,metric_name,repetition,system,value
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,long_context,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,hippo_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,hybrid_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,rolling_summary,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,csm,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,dense_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,graph_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,hybrid_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,rolling_summary,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,graph_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,csm,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,hippo_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,dense_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,long_context,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,csm,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,hybrid_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,graph_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,hippo_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,rolling_summary,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,dense_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,long_context,0.0
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,hippo_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,hybrid_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,rolling_summary,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,csm,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,long_context,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,dense_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,graph_rag,
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,hybrid_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,dense_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,long_context,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,graph_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,rolling_summary,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,csm,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,hippo_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,csm,0.9169230769230766
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,graph_rag,0.9378378378378376
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,long_context,0.8979166666666666
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,rolling_summary,0.9553571428571426
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,hippo_rag,0.9366666666666664
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,dense_rag,0.8358974358974358
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,hybrid_rag,0.8302380952380948
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,hybrid_rag,0.24242424242424243
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,csm,0.36363636363636365
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,hippo_rag,0.26666666666666666
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,rolling_summary,0.47058823529411764
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,dense_rag,0.2777777777777778
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,long_context,0.5
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,graph_rag,0.27586206896551724
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,hippo_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,rolling_summary,0.9714285714285714
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,csm,0.9069767441860465
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,graph_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,dense_rag,0.9069767441860465
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,long_context,0.8484848484848485
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,hybrid_rag,0.9534883720930233
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,graph_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,hippo_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,long_context,0.8484848484848485
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,hybrid_rag,0.9534883720930233
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,dense_rag,0.9069767441860465
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,csm,0.9069767441860465
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,rolling_summary,0.9714285714285714
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,hybrid_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,long_context,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,rolling_summary,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,csm,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,dense_rag,1.0
