ci95_high,ci95_low,direction,metric_name,n,rank,score,system,tie_with_top
0.0,0.0,higher_is_better,state_accuracy,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,state_accuracy,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,state_accuracy,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,7,0.0,csm,True
0.0,0.0,higher_is_better,answer_accuracy,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,answer_accuracy,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,answer_accuracy,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,7,0.0,csm,True
1.0,1.0,lower_is_better,hallucination_rate,1,1,1.0,long_context,False
1.0,1.0,lower_is_better,hallucination_rate,1,2,1.0,rolling_summary,True
1.0,1.0,lower_is_better,hallucination_rate,1,3,1.0,dense_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,4,1.0,hybrid_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,5,1.0,graph_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,6,1.0,hippo_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,7,1.0,csm,True
0.0,0.0,higher_is_better,evidence_support_rate,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,evidence_support_rate,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,evidence_support_rate,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,7,0.0,csm,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,1,1.0,long_context,False
1.0,1.0,lower_is_better,unsupported_claim_rate,1,2,1.0,rolling_summary,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,3,1.0,dense_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,4,1.0,hybrid_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,5,1.0,graph_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,6,1.0,hippo_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,7,1.0,csm,True
0.24242424242424243,0.24242424242424243,lower_is_better,fabricated_citation_rate,1,1,0.24242424242424243,hybrid_rag,False
0.26666666666666666,0.26666666666666666,lower_is_better,fabricated_citation_rate,1,2,0.26666666666666666,hippo_rag,False
0.27586206896551724,0.27586206896551724,lower_is_better,fabricated_citation_rate,1,3,0.27586206896551724,graph_rag,False
0.2777777777777778,0.2777777777777778,lower_is_better,fabricated_citation_rate,1,4,0.2777777777777778,dense_rag,False
0.36363636363636365,0.36363636363636365,lower_is_better,fabricated_citation_rate,1,5,0.36363636363636365,csm,False
0.47058823529411764,0.47058823529411764,lower_is_better,fabricated_citation_rate,1,6,0.47058823529411764,rolling_summary,False
0.5,0.5,lower_is_better,fabricated_citation_rate,1,7,0.5,long_context,False
1.0,1.0,higher_is_better,faithfulness,1,1,1.0,graph_rag,False
1.0,1.0,higher_is_better,faithfulness,1,2,1.0,hippo_rag,True
0.9714285714285714,0.9714285714285714,higher_is_better,faithfulness,1,3,0.9714285714285714,rolling_summary,False
0.9534883720930233,0.9534883720930233,higher_is_better,faithfulness,1,4,0.9534883720930233,hybrid_rag,False
0.9069767441860465,0.9069767441860465,higher_is_better,faithfulness,1,5,0.9069767441860465,dense_rag,False
0.9069767441860465,0.9069767441860465,higher_is_better,faithfulness,1,6,0.9069767441860465,csm,False
0.8484848484848485,0.8484848484848485,higher_is_better,faithfulness,1,7,0.8484848484848485,long_context,False
1.0,1.0,higher_is_better,groundedness,1,1,1.0,graph_rag,False
1.0,1.0,higher_is_better,groundedness,1,2,1.0,hippo_rag,True
0.9714285714285714,0.9714285714285714,higher_is_better,groundedness,1,3,0.9714285714285714,rolling_summary,False
0.9534883720930233,0.9534883720930233,higher_is_better,groundedness,1,4,0.9534883720930233,hybrid_rag,False
0.9069767441860465,0.9069767441860465,higher_is_better,groundedness,1,5,0.9069767441860465,dense_rag,False
0.9069767441860465,0.9069767441860465,higher_is_better,groundedness,1,6,0.9069767441860465,csm,False
0.8484848484848485,0.8484848484848485,higher_is_better,groundedness,1,7,0.8484848484848485,long_context,False
0.8302380952380948,0.8302380952380948,lower_is_better,expected_calibration_error,1,1,0.8302380952380948,hybrid_rag,False
0.8358974358974358,0.8358974358974358,lower_is_better,expected_calibration_error,1,2,0.8358974358974358,dense_rag,False
0.8979166666666666,0.8979166666666666,lower_is_better,expected_calibration_error,1,3,0.8979166666666666,long_context,False
0.9169230769230766,0.9169230769230766,lower_is_better,expected_calibration_error,1,4,0.9169230769230766,csm,False
0.9366666666666664,0.9366666666666664,lower_is_better,expected_calibration_error,1,5,0.9366666666666664,hippo_rag,False
0.9378378378378376,0.9378378378378376,lower_is_better,expected_calibration_error,1,6,0.9378378378378376,graph_rag,False
0.9553571428571426,0.9553571428571426,lower_is_better,expected_calibration_error,1,7,0.9553571428571426,rolling_summary,False
0.3111111111111111,0.3111111111111111,higher_is_better,lineage_citation_f1,1,1,0.3111111111111111,dense_rag,False
0.28571428571428575,0.28571428571428575,higher_is_better,lineage_citation_f1,1,2,0.28571428571428575,hybrid_rag,False
0.2105263157894737,0.2105263157894737,higher_is_better,lineage_citation_f1,1,3,0.2105263157894737,long_context,False
0.21052631578947367,0.21052631578947367,higher_is_better,lineage_citation_f1,1,4,0.21052631578947367,graph_rag,False
0.20512820512820512,0.20512820512820512,higher_is_better,lineage_citation_f1,1,5,0.20512820512820512,hippo_rag,False
0.15384615384615383,0.15384615384615383,higher_is_better,lineage_citation_f1,1,6,0.15384615384615383,rolling_summary,False
0.1290322580645161,0.1290322580645161,higher_is_better,lineage_citation_f1,1,7,0.1290322580645161,csm,False
0.0,0.0,higher_is_better,contradiction_handling,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,contradiction_handling,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,contradiction_handling,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,contradiction_handling,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,contradiction_handling,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,contradiction_handling,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,contradiction_handling,1,7,0.0,csm,True
0.0,0.0,higher_is_better,correction_recovery,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,correction_recovery,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,correction_recovery,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,correction_recovery,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,correction_recovery,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,correction_recovery,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,correction_recovery,1,7,0.0,csm,True
0.25,0.25,higher_is_better,retrieval_precision,1,1,0.25,long_context,False
0.2,0.2,higher_is_better,retrieval_precision,1,2,0.2,hybrid_rag,False
0.2,0.2,higher_is_better,retrieval_precision,1,3,0.2,graph_rag,False
0.19444444444444445,0.19444444444444445,higher_is_better,retrieval_precision,1,4,0.19444444444444445,dense_rag,False
0.19444444444444445,0.19444444444444445,higher_is_better,retrieval_precision,1,5,0.19444444444444445,hippo_rag,False
0.18181818181818182,0.18181818181818182,higher_is_better,retrieval_precision,1,6,0.18181818181818182,rolling_summary,False
0.1111111111111111,0.1111111111111111,higher_is_better,retrieval_precision,1,7,0.1111111111111111,csm,False
0.7777777777777778,0.7777777777777778,higher_is_better,retrieval_recall,1,1,0.7777777777777778,dense_rag,False
0.7777777777777778,0.7777777777777778,higher_is_better,retrieval_recall,1,2,0.7777777777777778,hybrid_rag,True
0.7777777777777778,0.7777777777777778,higher_is_better,retrieval_recall,1,3,0.7777777777777778,graph_rag,True
0.7777777777777778,0.7777777777777778,higher_is_better,retrieval_recall,1,4,0.7777777777777778,hippo_rag,True
0.3333333333333333,0.3333333333333333,higher_is_better,retrieval_recall,1,5,0.3333333333333333,csm,False
0.2222222222222222,0.2222222222222222,higher_is_better,retrieval_recall,1,6,0.2222222222222222,long_context,False
0.2222222222222222,0.2222222222222222,higher_is_better,retrieval_recall,1,7,0.2222222222222222,rolling_summary,False
1522.1,1522.1,lower_is_better,tokens_per_query,1,1,1522.1,long_context,False
1975.7,1975.7,lower_is_better,tokens_per_query,1,2,1975.7,dense_rag,False
2103.75,2103.75,lower_is_better,tokens_per_query,1,3,2103.75,hybrid_rag,False
2180.6,2180.6,lower_is_better,tokens_per_query,1,4,2180.6,graph_rag,False
2200.15,2200.15,lower_is_better,tokens_per_query,1,5,2200.15,hippo_rag,False
2428.5,2428.5,lower_is_better,tokens_per_query,1,6,2428.5,rolling_summary,False
2836.25,2836.25,lower_is_better,tokens_per_query,1,7,2836.25,csm,False
27226.65,27226.65,lower_is_better,p95_latency,1,1,27226.65,long_context,False
66710.45,66710.45,lower_is_better,p95_latency,1,2,66710.45,rolling_summary,False
80845.05000000003,80845.05000000003,lower_is_better,p95_latency,1,3,80845.05000000003,dense_rag,False
127300.15,127300.15,lower_is_better,p95_latency,1,4,127300.15,csm,False
127772.05,127772.05,lower_is_better,p95_latency,1,5,127772.05,hybrid_rag,False
128433.6,128433.6,lower_is_better,p95_latency,1,6,128433.6,hippo_rag,False
128492.1,128492.1,lower_is_better,p95_latency,1,7,128492.1,graph_rag,False
0.0072645,0.0072645,lower_is_better,total_cost,1,1,0.0072645,long_context,False
0.009772349999999999,0.009772349999999999,lower_is_better,total_cost,1,2,0.009772349999999999,dense_rag,False
0.009974849999999999,0.009974849999999999,lower_is_better,total_cost,1,3,0.009974849999999999,graph_rag,False
0.0100071,0.0100071,lower_is_better,total_cost,1,4,0.0100071,hybrid_rag,False
0.0104052,0.0104052,lower_is_better,total_cost,1,5,0.0104052,hippo_rag,False
0.01086435,0.01086435,lower_is_better,total_cost,1,6,0.01086435,rolling_summary,False
0.011775299999999999,0.011775299999999999,lower_is_better,total_cost,1,7,0.011775299999999999,csm,False
