aggregation_level,applicability_rules,applicable_rows,ci95_high,ci95_low,direction,display_name,failed_rows,formula,mean,metric_name,n,not_applicable_rows,pending_rows,reason_not_applicable,required_inputs,stddev,system,unit,version
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,long_context,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,long_context,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,long_context,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,long_context,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,long_context,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,long_context,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,long_context,ratio,1.0
weighted_ratio,report_missing,1,0.5,0.5,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.5,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,long_context,ratio,1.0
weighted_ratio,report_missing,1,0.8484848484848485,0.8484848484848485,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,0.8484848484848485,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,long_context,ratio,1.0
weighted_mean,report_missing,1,0.8484848484848485,0.8484848484848485,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",0.8484848484848485,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,long_context,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.8979166666666666,0.8979166666666666,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.8979166666666666,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,long_context,ece,1.0
macro_f1,report_missing,1,0.2105263157894737,0.2105263157894737,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.2105263157894737,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,long_context,f1,1.0
component_mean,not_applicable_without_contradiction,1,0.0,0.0,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",0.0,contradiction_handling,1,0,0,,"[""contradiction_truth"", ""generated_answer""]",0,long_context,score,1.0
success_rate,not_applicable_without_correction,1,0.0,0.0,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,0.0,correction_recovery,1,0,0,,"[""correction_truth"", ""post_correction_answers""]",0,long_context,ratio,1.0
macro_precision_at_k,report_missing,1,0.25,0.25,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.25,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,long_context,precision,1.0
macro_recall_at_k,report_missing,1,0.2222222222222222,0.2222222222222222,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.2222222222222222,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,long_context,recall,1.0
mean,report_missing,1,1522.1,1522.1,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,1522.1,tokens_per_query,1,0,0,,"[""llm_calls""]",0,long_context,tokens,1.0
p95,report_missing,1,27226.65,27226.65,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,27226.65,p95_latency,1,0,0,,"[""turn_timings""]",0,long_context,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.0072645,0.0072645,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.0072645,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,long_context,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,long_context,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,long_context,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,rolling_summary,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,rolling_summary,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,rolling_summary,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,rolling_summary,f1,1.0
