calculation_reason,canonical_source_id,expected_canonical_ids,patient,question_id,question_number,rank,relevance_classification,relevant,resolution_status,resolved_canonical_ids,retrieval_item_id,system,system_native_id,system_native_type,turn_id
retrieval_identifier_canonicalized,6b5d4cab-0595-47ed-b6cf-6c472f6dfc3e,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,1,not_relevant,False,resolved,"[""6b5d4cab-0595-47ed-b6cf-6c472f6dfc3e""]",d9f2b4d3-7fb6-4622-9d4a-c78c3f7e6a79,rolling_summary,31c5d0c7-c002-4215-be58-5d24dc368e4c,rolling_summary_snapshot,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized,6b5d4cab-0595-47ed-b6cf-6c472f6dfc3e,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,2,not_relevant,False,resolved,"[""6b5d4cab-0595-47ed-b6cf-6c472f6dfc3e""]",8f4c02ce-764e-4646-9a97-84792dbc2be8,rolling_summary,49429ffd-7b36-4166-b5a7-24e25d6bfa79,rolling_summary_recent_item,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized,3d44a964-a34f-402a-a0d4-46e9f8fe08f2,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,3,not_relevant,False,resolved,"[""3d44a964-a34f-402a-a0d4-46e9f8fe08f2""]",0d6f1a20-74e7-4055-bf1b-5561f0f73dc6,rolling_summary,e5e22ba2-af06-4ba6-8a28-231a4b137562,rolling_summary_recent_item,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized,100e6bd9-2555-45d8-975a-227392273059,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,4,not_relevant,False,resolved,"[""100e6bd9-2555-45d8-975a-227392273059""]",3ff32d30-1055-455b-bb2a-f040ea867d8f,rolling_summary,ece0a4df-3de8-4b0a-aa4e-81872fc532e3,rolling_summary_recent_item,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized,2714340b-357b-40da-8320-ca5d49b38825,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,5,not_relevant,False,resolved,"[""2714340b-357b-40da-8320-ca5d49b38825""]",6cbafc43-6386-4390-a9e4-abe924cf3332,rolling_summary,b1a07eaa-0775-40f7-822d-df3b8ea4e9c3,rolling_summary_recent_item,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized,5a7448c6-829a-4d17-afa0-a12fc259a4a8,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,6,not_relevant,False,resolved,"[""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""992508fd-a5ec-443e-a9b5-1b673de2ccd5"", ""e7227da2-1080-4e02-9f46-273e603b015b""]",f9b4983a-066c-40c3-9d68-1118b86fd1a4,rolling_summary,31754c82-3cfe-4046-9204-316f761b936c,rolling_summary_recent_item,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized,01179013-122d-467c-ba84-2f1f8debc427,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,7,not_relevant,False,resolved,"[""01179013-122d-467c-ba84-2f1f8debc427"", ""e7227da2-1080-4e02-9f46-273e603b015b""]",7e7a3e3d-4dad-4caa-be82-b87edb5941eb,rolling_summary,b565072b-0499-459a-8be2-a5b3d88bd598,rolling_summary_recent_item,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized,a36dcf61-c801-4b2a-ba00-46774c62c28d,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,8,not_relevant,False,resolved,"[""a36dcf61-c801-4b2a-ba00-46774c62c28d""]",d5f700fb-6b70-473c-9865-59b85c23897b,rolling_summary,63e57248-1fd3-49b3-b04b-cbe7498b2586,rolling_summary_recent_item,1da1e56e-179c-4c69-99ad-fa158bb3cca9
retrieval_identifier_canonicalized_with_csm_state_aliases,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,1,relevant,True,resolved,"[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3""]",e67cedca-4e42-4312-8aa6-615af271422f,csm,3f08af22-78fc-450b-96e2-ec06d8a62343,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized_with_csm_state_aliases,82436317-3f6d-48a5-98a1-fc7112135ff0,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,2,relevant,True,resolved,"[""82436317-3f6d-48a5-98a1-fc7112135ff0""]",165236c7-b93d-44d0-b3ea-550b865948da,csm,89e6867b-bd04-4d15-a6c5-68d823f64b3a,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized_with_csm_state_aliases,144815ec-2457-4f70-906b-db11c7129c10,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,3,not_relevant,False,resolved,"[""144815ec-2457-4f70-906b-db11c7129c10""]",d92ff71a-783a-4d1c-a2db-e4526f94cf92,csm,eb939db6-6a96-4f0a-909d-9a7b52d1d6bb,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized_with_csm_state_aliases,7c216ab9-482a-45e1-b674-ccae87dc3241,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,4,not_relevant,False,resolved,"[""7c216ab9-482a-45e1-b674-ccae87dc3241""]",83b1c631-e584-4368-97e6-58a3387fd9d0,csm,76939a66-86bf-4986-9b4c-6467028521d8,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized_with_csm_state_aliases,f1883cf3-d2d5-4728-9eca-486d26f44798,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,5,not_relevant,False,resolved,"[""f1883cf3-d2d5-4728-9eca-486d26f44798""]",82fa7b4f-34fe-4dc4-8ba7-ba299157ee8e,csm,d26d0e21-09d7-4544-b30c-260060a78269,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized_with_csm_state_aliases,93741d05-d8a8-40c9-b965-87774b495ce1,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,6,not_relevant,False,resolved,"[""93741d05-d8a8-40c9-b965-87774b495ce1""]",724fee05-f8fe-4cfa-8cd0-a6560fbff32f,csm,8a1222ea-2e7c-4041-af4b-9a91c8c6b9ed,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized_with_csm_state_aliases,8e514baf-cccd-4501-b2ce-ed6c9aed08c6,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,7,not_relevant,False,resolved,"[""8e514baf-cccd-4501-b2ce-ed6c9aed08c6""]",1e791dd9-2fae-4df8-934a-1be9c16588c3,csm,1f8f810a-eb88-4f17-9dbe-9f1459760376,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized_with_csm_state_aliases,c3d6015f-74fc-43b3-bd0f-980791933814,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,8,not_relevant,False,resolved,"[""c3d6015f-74fc-43b3-bd0f-980791933814""]",4156d63a-5edd-4756-8425-f348f9961926,csm,60adefb8-3fea-4926-9222-e8592df15b73,csm_state_variable,39170e46-1e9f-4115-8ca4-c5d86155ea79
retrieval_identifier_canonicalized,f1883cf3-d2d5-4728-9eca-486d26f44798,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,1,not_relevant,False,resolved,"[""f1883cf3-d2d5-4728-9eca-486d26f44798""]",c37ec473-4cd9-4676-ac10-c3249747e4de,hippo_rag,9f791975-bb47-4f7f-ad72-8459d9d4ce19,hippo_passage_node,6232d0bb-bfac-40db-9156-e7b5e843c132
retrieval_identifier_canonicalized,82436317-3f6d-48a5-98a1-fc7112135ff0,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,2,relevant,True,resolved,"[""82436317-3f6d-48a5-98a1-fc7112135ff0""]",e5084716-1b6e-4d23-aabf-2c2716427074,hippo_rag,a4c5bcb0-fc86-46c0-b1aa-91fd10111ac7,hippo_passage_node,6232d0bb-bfac-40db-9156-e7b5e843c132
retrieval_identifier_canonicalized,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""False""]",SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,3,relevant,True,resolved,"[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3""]",2e21b039-8178-434f-8210-be07cf72fa12,hippo_rag,2a159a0f-47c3-405b-be72-4999114aeac2,hippo_passage_node,6232d0bb-bfac-40db-9156-e7b5e843c132
