applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,missing_temporal_ground_truth,rolling_summary,1da1e56e-179c-4c69-99ad-fa158bb3cca9
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,missing_temporal_ground_truth,csm,39170e46-1e9f-4115-8ca4-c5d86155ea79
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,missing_temporal_ground_truth,hippo_rag,6232d0bb-bfac-40db-9156-e7b5e843c132
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,missing_temporal_ground_truth,dense_rag,7f7e9d93-c0f1-47c6-851e-04b662a5f66d
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,missing_temporal_ground_truth,graph_rag,976792df-ef0d-4b8e-a0bf-071106da06d0
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,missing_temporal_ground_truth,hybrid_rag,97d07848-ba97-4af7-a3bd-1d2509841afa
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,missing_temporal_ground_truth,long_context,da333ec3-38f6-4586-8641-39cec762cb59
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,missing_temporal_ground_truth,csm,057d3252-33d1-4c93-82ff-7514419dac41
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,missing_temporal_ground_truth,hippo_rag,0e8810bb-1050-474a-8f25-0306243e3e3a
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,missing_temporal_ground_truth,dense_rag,32c0aa97-55af-4efd-9b06-7b1bbf794298
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,missing_temporal_ground_truth,rolling_summary,34fa137f-cf45-4e71-9910-98b63628ef9a
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,missing_temporal_ground_truth,long_context,5fc8bda2-1746-4604-a0e2-6692490a3d43
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,missing_temporal_ground_truth,graph_rag,70b57416-723f-4d77-8fe0-fb4595f60ca5
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,missing_temporal_ground_truth,hybrid_rag,7b5064ac-24d6-4660-9ec9-45044b6f718b
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,missing_temporal_ground_truth,hippo_rag,1c451b2e-95f4-4e2a-beb9-df401293333a
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,missing_temporal_ground_truth,rolling_summary,4e1aeb57-e320-4fd9-92e1-90b5dab35693
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,missing_temporal_ground_truth,hybrid_rag,701242fa-0684-44f4-a79d-47d55626b5ee
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,missing_temporal_ground_truth,graph_rag,89289001-4459-449f-8d3c-9cc288f36ff4
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,missing_temporal_ground_truth,csm,b11fee85-dad6-4506-91b5-6f63386076c7
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,missing_temporal_ground_truth,dense_rag,d9ffdd07-3101-40ff-b729-69301c4d268d
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,missing_temporal_ground_truth,long_context,e2b68005-66aa-4e7e-83cb-ea135f9217e4
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,1.0,SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,,rolling_summary,0f53204a-9d47-465c-a636-7dbb8c410e84
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,0.3333333333333333,SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,,graph_rag,21808880-9812-47cb-8711-7b48d05bdaa0
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,0.3333333333333333,SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,,dense_rag,3bcc4362-84db-4130-ac37-364f6060c58e
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,0.3333333333333333,SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,,hippo_rag,812e348c-1d99-4e29-9d72-561cbdb67560
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,0.3333333333333333,SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,,csm,974e8b6e-0448-4705-ac46-fa635044e789
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,0.3333333333333333,SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,,hybrid_rag,9dc996b0-5771-4787-b7be-355f4a34a8ec
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,0.3333333333333333,SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,,long_context,b2366de2-823b-484f-b516-195e8b1288e2
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,missing_temporal_ground_truth,rolling_summary,09f88c77-dfbc-469b-a68a-1ae08906b72f
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,missing_temporal_ground_truth,hippo_rag,16ac4b00-f231-42a1-8c20-12942f1244c8
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,missing_temporal_ground_truth,csm,1f4c8330-70b7-4d85-8963-eae1cb790d31
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,missing_temporal_ground_truth,dense_rag,37976444-e5e7-4bac-ab9b-991361f13cd0
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,missing_temporal_ground_truth,hybrid_rag,455a2951-ed32-48dc-9941-d290797a400b
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,missing_temporal_ground_truth,graph_rag,693249c8-3e2d-430d-98c1-a5789b324e70
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,missing_temporal_ground_truth,long_context,a432b024-5ab8-42ba-bcee-591e7d6840e1
True,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer,,temporal_consistency,,0.3333333333333333,SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,,hybrid_rag,19dee082-c86a-4674-8bd0-0b1b680ca318
