decay,dependency_id,relation_type,source_state_id,source_state_key,status,target_state_id,target_state_key,weight
0.0,2fddfdf4-c578-46d2-8adb-291a1d16a08f,lexical_state_dependency,60adefb8-3fea-4926-9222-e8592df15b73,clinical_encounter:outpatient,active,e2463a9f-822a-4f80-90a3-6f9c6fccb3c0,outpatient,0.7
0.0,b6f8019c-b2bb-4fe0-802c-7a221ad87ae2,lexical_state_dependency,60adefb8-3fea-4926-9222-e8592df15b73,clinical_encounter:outpatient,active,66b8b579-dfbe-4a36-bbcf-21f86e8a0982,follow-up,0.7
0.0,3696bdda-4754-40d0-9936-74d863619771,document_evidence_dependency,60adefb8-3fea-4926-9222-e8592df15b73,clinical_encounter:outpatient,active,cf401c83-e3c3-40ff-b7f2-2650109dea93,baseline metabolic clinic note,0.55
0.0,37627366-ad6e-4d81-bf10-37ceebc6316c,lexical_state_dependency,60adefb8-3fea-4926-9222-e8592df15b73,clinical_encounter:outpatient,active,2260e9a8-9724-4ff2-894f-508dc7b4fbe8,urgent_outpatient,0.4666666666666666
0.0,1dc82bc9-481d-430d-ad3a-cf96a7402a15,document_evidence_dependency,60adefb8-3fea-4926-9222-e8592df15b73,clinical_encounter:outpatient,active,6d032e40-2eb7-4172-8730-cd80e0ee7a69,medication reconciliation summary,0.43333333333333335
0.0,12b56894-2d5d-474e-9898-c71b95c6f257,medication_condition_dependency,89e6867b-bd04-4d15-a6c5-68d823f64b3a,clinical_condition:type 2 diabetes mellitus,active,a70c00c4-e650-475b-9d09-f1c6adf1f4a9,metformin,1.0
0.0,a486e1fe-984b-4a09-8e4c-c621f197a2b1,lexical_state_dependency,89e6867b-bd04-4d15-a6c5-68d823f64b3a,clinical_condition:type 2 diabetes mellitus,active,ba8c2d8f-fa4c-471b-a051-b48bc465e99e,type 2 diabetes mellitus,0.7
0.0,fe29a553-175d-4ea1-9341-93c07a903e29,measurement_clinical_state_dependency,89e6867b-bd04-4d15-a6c5-68d823f64b3a,clinical_condition:type 2 diabetes mellitus,active,d4d91e1c-1973-4438-84c4-50572f388349,serum creatinine,0.5249999999999999
0.0,2162a0c8-026a-4399-8fad-1234640c4e4e,measurement_clinical_state_dependency,89e6867b-bd04-4d15-a6c5-68d823f64b3a,clinical_condition:type 2 diabetes mellitus,active,71dcee52-d7f6-4ed0-8c53-e682f169041f,serum creatinine - corrected,0.49
0.0,ca96a7e5-6f5b-4a91-8a38-c59e1f354300,measurement_clinical_state_dependency,89e6867b-bd04-4d15-a6c5-68d823f64b3a,clinical_condition:type 2 diabetes mellitus,active,88b0fc25-0f7d-45f8-b1d1-b22354581015,estimated glomerular filtration rate,0.47727272727272724
0.0,e238a471-f0cf-475a-9946-547f47c64aea,medication_condition_dependency,3f08af22-78fc-450b-96e2-ec06d8a62343,clinical_condition:essential hypertension,active,549e58fd-0c98-42bb-b273-db3c4bb1ff08,lisinopril,1.0
0.0,3c7865a6-efe5-421f-bb42-796b1565d386,lexical_state_dependency,3f08af22-78fc-450b-96e2-ec06d8a62343,clinical_condition:essential hypertension,active,2947e40f-a1b0-44be-8b61-84f71377b820,essential hypertension,0.7
0.0,093b65e9-2f33-4f43-9e85-fde47085cab0,measurement_clinical_state_dependency,3f08af22-78fc-450b-96e2-ec06d8a62343,clinical_condition:essential hypertension,active,d4d91e1c-1973-4438-84c4-50572f388349,serum creatinine,0.5249999999999999
