applicable,calculation_reason,f1,false_negative,false_positive,patient,precision,question_id,question_number,reason_not_applicable,recall,system,true_positive,turn_id
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-001,0.0,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,,0.0,rolling_summary,0,1da1e56e-179c-4c69-99ad-fa158bb3cca9
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,,0.5,csm,2,39170e46-1e9f-4115-8ca4-c5d86155ea79
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,,0.5,hippo_rag,2,6232d0bb-bfac-40db-9156-e7b5e843c132
True,claim_level_precision_recall_f1_without_claim_id_matching,0.5,2,2,SYN-CSM-001,0.5,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,,0.5,dense_rag,2,7f7e9d93-c0f1-47c6-851e-04b662a5f66d
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,,0.5,graph_rag,2,976792df-ef0d-4b8e-a0bf-071106da06d0
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,,0.5,hybrid_rag,2,97d07848-ba97-4af7-a3bd-1d2509841afa
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,,0.5,long_context,2,da333ec3-38f6-4586-8641-39cec762cb59
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,,0.5,csm,2,057d3252-33d1-4c93-82ff-7514419dac41
True,claim_level_precision_recall_f1_without_claim_id_matching,0.3333333333333333,3,1,SYN-CSM-001,0.5,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,,0.25,hippo_rag,1,0e8810bb-1050-474a-8f25-0306243e3e3a
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-001,1.0,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,,0.25,dense_rag,1,32c0aa97-55af-4efd-9b06-7b1bbf794298
False,claim_level_precision_recall_f1_without_claim_id_matching,,4,0,SYN-CSM-001,,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,no_generated_or_expected_factual_claims,0.0,rolling_summary,0,34fa137f-cf45-4e71-9910-98b63628ef9a
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,,0.5,long_context,2,5fc8bda2-1746-4604-a0e2-6692490a3d43
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-001,1.0,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,,0.5,graph_rag,2,70b57416-723f-4d77-8fe0-fb4595f60ca5
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-001,1.0,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,,0.25,hybrid_rag,1,7b5064ac-24d6-4660-9ec9-45044b6f718b
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,4,SYN-CSM-001,0.0,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,,0.0,hippo_rag,0,1c451b2e-95f4-4e2a-beb9-df401293333a
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,3,SYN-CSM-001,0.0,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,,0.0,rolling_summary,0,4e1aeb57-e320-4fd9-92e1-90b5dab35693
False,claim_level_precision_recall_f1_without_claim_id_matching,,4,0,SYN-CSM-001,,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,no_generated_or_expected_factual_claims,0.0,hybrid_rag,0,701242fa-0684-44f4-a79d-47d55626b5ee
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,4,SYN-CSM-001,0.0,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,,0.0,graph_rag,0,89289001-4459-449f-8d3c-9cc288f36ff4
