patient,question_id,question_number,system,turn_id,citation_id,resolved_id,resolution_status,citation_classification,calculation_reason
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,C1,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,C2,82436317-3f6d-48a5-98a1-fc7112135ff0,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,C3,82436317-3f6d-48a5-98a1-fc7112135ff0,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,C4,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,82436317-3f6d-48a5-98a1-fc7112135ff0,82436317-3f6d-48a5-98a1-fc7112135ff0,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,C1,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,7c216ab9-482a-45e1-b674-ccae87dc3241,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,C2,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,C6,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,7c216ab9-482a-45e1-b674-ccae87dc3241,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C1,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C2,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C3,93741d05-d8a8-40c9-b965-87774b495ce1,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C4,8e514baf-cccd-4501-b2ce-ed6c9aed08c6,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C5,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C6,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C7,8e514baf-cccd-4501-b2ce-ed6c9aed08c6,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,C8,93741d05-d8a8-40c9-b965-87774b495ce1,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,7c216ab9-482a-45e1-b674-ccae87dc3241,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,93741d05-d8a8-40c9-b965-87774b495ce1,93741d05-d8a8-40c9-b965-87774b495ce1,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,8e514baf-cccd-4501-b2ce-ed6c9aed08c6,8e514baf-cccd-4501-b2ce-ed6c9aed08c6,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v3,213b58af-8265-447e-8468-3389fa591843,C5,f4c29954-0dee-482e-a023-4b0bb58eefbe,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v3,213b58af-8265-447e-8468-3389fa591843,C7,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v3,213b58af-8265-447e-8468-3389fa591843,C1,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v3,213b58af-8265-447e-8468-3389fa591843,f4c29954-0dee-482e-a023-4b0bb58eefbe,f4c29954-0dee-482e-a023-4b0bb58eefbe,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v3,213b58af-8265-447e-8468-3389fa591843,7c216ab9-482a-45e1-b674-ccae87dc3241,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,C1,54fd1427-29f4-4118-a5b1-2ba777c3a0c6,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,C2,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,C3,b36fe256-a9f3-4d54-8414-ff7324791817,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,C4,879dce5d-3179-4280-b610-7bd2d3320872,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,C7,4ccc7534-0c71-4918-a30a-3425d55a636c,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,7c216ab9-482a-45e1-b674-ccae87dc3241,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,879dce5d-3179-4280-b610-7bd2d3320872,879dce5d-3179-4280-b610-7bd2d3320872,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,54fd1427-29f4-4118-a5b1-2ba777c3a0c6,54fd1427-29f4-4118-a5b1-2ba777c3a0c6,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,b36fe256-a9f3-4d54-8414-ff7324791817,b36fe256-a9f3-4d54-8414-ff7324791817,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,4ccc7534-0c71-4918-a30a-3425d55a636c,4ccc7534-0c71-4918-a30a-3425d55a636c,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v3,9aadb852-025e-478f-9710-2ee59eb1f23a,C7,b36fe256-a9f3-4d54-8414-ff7324791817,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v3,9aadb852-025e-478f-9710-2ee59eb1f23a,C10,4ccc7534-0c71-4918-a30a-3425d55a636c,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v3,9aadb852-025e-478f-9710-2ee59eb1f23a,C9,54fd1427-29f4-4118-a5b1-2ba777c3a0c6,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v3,9aadb852-025e-478f-9710-2ee59eb1f23a,b36fe256-a9f3-4d54-8414-ff7324791817,b36fe256-a9f3-4d54-8414-ff7324791817,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v3,9aadb852-025e-478f-9710-2ee59eb1f23a,4ccc7534-0c71-4918-a30a-3425d55a636c,4ccc7534-0c71-4918-a30a-3425d55a636c,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v3,9aadb852-025e-478f-9710-2ee59eb1f23a,54fd1427-29f4-4118-a5b1-2ba777c3a0c6,54fd1427-29f4-4118-a5b1-2ba777c3a0c6,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,550a8de2-2845-4d0b-81e9-6d595d710722,8,csm_v3,265defdb-d13b-40e2-98cf-6a286818b73a,C1,100e6bd9-2555-45d8-975a-227392273059,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,550a8de2-2845-4d0b-81e9-6d595d710722,8,csm_v3,265defdb-d13b-40e2-98cf-6a286818b73a,C2,b36fe256-a9f3-4d54-8414-ff7324791817,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,550a8de2-2845-4d0b-81e9-6d595d710722,8,csm_v3,265defdb-d13b-40e2-98cf-6a286818b73a,100e6bd9-2555-45d8-975a-227392273059,100e6bd9-2555-45d8-975a-227392273059,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,550a8de2-2845-4d0b-81e9-6d595d710722,8,csm_v3,265defdb-d13b-40e2-98cf-6a286818b73a,b36fe256-a9f3-4d54-8414-ff7324791817,b36fe256-a9f3-4d54-8414-ff7324791817,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,84891faf-410d-4423-b28a-a28ecd4ec38f,9,csm_v3,ce72261f-39c4-4fc4-805f-cbc607fea8df,C6,100e6bd9-2555-45d8-975a-227392273059,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,84891faf-410d-4423-b28a-a28ecd4ec38f,9,csm_v3,ce72261f-39c4-4fc4-805f-cbc607fea8df,100e6bd9-2555-45d8-975a-227392273059,100e6bd9-2555-45d8-975a-227392273059,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,a9b00bb9-cd85-4100-96e8-d35aa8eba79e,10,csm_v3,9f3933f6-d119-4604-8759-bc440748d86e,C1,100e6bd9-2555-45d8-975a-227392273059,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,a9b00bb9-cd85-4100-96e8-d35aa8eba79e,10,csm_v3,9f3933f6-d119-4604-8759-bc440748d86e,C2,b36fe256-a9f3-4d54-8414-ff7324791817,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,a9b00bb9-cd85-4100-96e8-d35aa8eba79e,10,csm_v3,9f3933f6-d119-4604-8759-bc440748d86e,C3,2714340b-357b-40da-8320-ca5d49b38825,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
