applicable,metric_name,patient_code,reason_not_applicable,repetition,system,value
True,answer_accuracy,SYN-CSM-003,,1,csm,0.0
True,answer_accuracy,SYN-CSM-003,,1,long_context,0.0
True,answer_accuracy,SYN-CSM-003,,1,graph_rag,0.0
True,answer_accuracy,SYN-CSM-003,,1,hybrid_rag,0.0
True,answer_accuracy,SYN-CSM-003,,1,rolling_summary,0.0
True,answer_accuracy,SYN-CSM-003,,1,hippo_rag,0.0
True,answer_accuracy,SYN-CSM-003,,1,dense_rag,0.0
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,csm,
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,rolling_summary,
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,long_context,
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,hybrid_rag,
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,hippo_rag,
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,dense_rag,
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,graph_rag,
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,csm,
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,long_context,
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,rolling_summary,
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,graph_rag,
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,hybrid_rag,
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,dense_rag,
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,hippo_rag,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,hybrid_rag,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,rolling_summary,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,csm,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,long_context,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,hippo_rag,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,graph_rag,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,dense_rag,
True,evidence_support_rate,SYN-CSM-003,,1,graph_rag,0.0
True,evidence_support_rate,SYN-CSM-003,,1,dense_rag,0.0
True,evidence_support_rate,SYN-CSM-003,,1,hippo_rag,0.0
True,evidence_support_rate,SYN-CSM-003,,1,rolling_summary,0.0
True,evidence_support_rate,SYN-CSM-003,,1,hybrid_rag,0.0
True,evidence_support_rate,SYN-CSM-003,,1,long_context,0.0
True,evidence_support_rate,SYN-CSM-003,,1,csm,0.0
True,expected_calibration_error,SYN-CSM-003,,1,long_context,0.927857142857143
True,expected_calibration_error,SYN-CSM-003,,1,graph_rag,0.7763888888888886
True,expected_calibration_error,SYN-CSM-003,,1,rolling_summary,0.9426829268292682
True,expected_calibration_error,SYN-CSM-003,,1,dense_rag,0.7911111111111111
True,expected_calibration_error,SYN-CSM-003,,1,hippo_rag,0.8231111111111111
True,expected_calibration_error,SYN-CSM-003,,1,csm,0.8739473684210521
True,expected_calibration_error,SYN-CSM-003,,1,hybrid_rag,0.7405555555555554
True,fabricated_citation_rate,SYN-CSM-003,,1,hippo_rag,0.22857142857142856
True,fabricated_citation_rate,SYN-CSM-003,,1,dense_rag,0.20512820512820512
True,fabricated_citation_rate,SYN-CSM-003,,1,rolling_summary,0.5
True,fabricated_citation_rate,SYN-CSM-003,,1,hybrid_rag,0.21621621621621623
True,fabricated_citation_rate,SYN-CSM-003,,1,csm,0.25
True,fabricated_citation_rate,SYN-CSM-003,,1,graph_rag,0.23529411764705882
True,fabricated_citation_rate,SYN-CSM-003,,1,long_context,0.5
True,faithfulness,SYN-CSM-003,,1,graph_rag,1.0
True,faithfulness,SYN-CSM-003,,1,hybrid_rag,1.0
True,faithfulness,SYN-CSM-003,,1,long_context,0.7948717948717948
True,faithfulness,SYN-CSM-003,,1,dense_rag,1.0
True,faithfulness,SYN-CSM-003,,1,rolling_summary,1.0
True,faithfulness,SYN-CSM-003,,1,hippo_rag,1.0
True,faithfulness,SYN-CSM-003,,1,csm,0.9512195121951219
True,groundedness,SYN-CSM-003,,1,hybrid_rag,1.0
True,groundedness,SYN-CSM-003,,1,rolling_summary,1.0
True,groundedness,SYN-CSM-003,,1,csm,0.9512195121951219
True,groundedness,SYN-CSM-003,,1,hippo_rag,1.0
True,groundedness,SYN-CSM-003,,1,long_context,0.7948717948717948
True,groundedness,SYN-CSM-003,,1,dense_rag,1.0
True,groundedness,SYN-CSM-003,,1,graph_rag,1.0
True,hallucination_rate,SYN-CSM-003,,1,hybrid_rag,1.0
True,hallucination_rate,SYN-CSM-003,,1,dense_rag,1.0
True,hallucination_rate,SYN-CSM-003,,1,long_context,1.0
True,hallucination_rate,SYN-CSM-003,,1,hippo_rag,1.0
True,hallucination_rate,SYN-CSM-003,,1,rolling_summary,1.0
True,hallucination_rate,SYN-CSM-003,,1,graph_rag,1.0
True,hallucination_rate,SYN-CSM-003,,1,csm,1.0
True,lineage_citation_f1,SYN-CSM-003,,1,csm,0.26086956521739124
True,lineage_citation_f1,SYN-CSM-003,,1,long_context,0.39999999999999997
True,lineage_citation_f1,SYN-CSM-003,,1,dense_rag,0.3018867924528302
True,lineage_citation_f1,SYN-CSM-003,,1,hybrid_rag,0.2745098039215686
True,lineage_citation_f1,SYN-CSM-003,,1,rolling_summary,0.06666666666666667
True,lineage_citation_f1,SYN-CSM-003,,1,hippo_rag,0.20408163265306123
True,lineage_citation_f1,SYN-CSM-003,,1,graph_rag,0.20833333333333334
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,hybrid_rag,
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,dense_rag,
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,long_context,
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,rolling_summary,
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,graph_rag,
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,csm,
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,hippo_rag,
True,p95_latency,SYN-CSM-003,,1,graph_rag,135010.5000000001
True,p95_latency,SYN-CSM-003,,1,rolling_summary,132759.50000000006
True,p95_latency,SYN-CSM-003,,1,hippo_rag,128126.0
True,p95_latency,SYN-CSM-003,,1,long_context,32345.70000000001
True,p95_latency,SYN-CSM-003,,1,csm,128236.65000000001
True,p95_latency,SYN-CSM-003,,1,dense_rag,24681.5
True,p95_latency,SYN-CSM-003,,1,hybrid_rag,33109.45000000007
True,retrieval_precision,SYN-CSM-003,,1,long_context,0.75
True,retrieval_precision,SYN-CSM-003,,1,dense_rag,0.2619047619047619
True,retrieval_precision,SYN-CSM-003,,1,hippo_rag,0.2619047619047619
True,retrieval_precision,SYN-CSM-003,,1,hybrid_rag,0.2857142857142857
True,retrieval_precision,SYN-CSM-003,,1,rolling_summary,0.1111111111111111
True,retrieval_precision,SYN-CSM-003,,1,graph_rag,0.24390243902439024
True,retrieval_precision,SYN-CSM-003,,1,csm,0.20588235294117646
True,retrieval_recall,SYN-CSM-003,,1,hybrid_rag,0.8571428571428571
True,retrieval_recall,SYN-CSM-003,,1,hippo_rag,0.7857142857142857
True,retrieval_recall,SYN-CSM-003,,1,long_context,0.42857142857142855
True,retrieval_recall,SYN-CSM-003,,1,graph_rag,0.7142857142857143
True,retrieval_recall,SYN-CSM-003,,1,dense_rag,0.7857142857142857
True,retrieval_recall,SYN-CSM-003,,1,csm,0.5
True,retrieval_recall,SYN-CSM-003,,1,rolling_summary,0.07142857142857142
True,state_accuracy,SYN-CSM-003,,1,graph_rag,0.0
True,state_accuracy,SYN-CSM-003,,1,hybrid_rag,0.0
True,state_accuracy,SYN-CSM-003,,1,dense_rag,0.0
True,state_accuracy,SYN-CSM-003,,1,rolling_summary,0.0
True,state_accuracy,SYN-CSM-003,,1,hippo_rag,0.0
True,state_accuracy,SYN-CSM-003,,1,long_context,0.0
True,state_accuracy,SYN-CSM-003,,1,csm,0.0
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,dense_rag,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,rolling_summary,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,graph_rag,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,hybrid_rag,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,long_context,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,hippo_rag,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,csm,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,dense_rag,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,csm,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,hippo_rag,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,graph_rag,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,long_context,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,rolling_summary,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,hybrid_rag,
True,tokens_per_query,SYN-CSM-003,,1,rolling_summary,2665.85
True,tokens_per_query,SYN-CSM-003,,1,graph_rag,2055.05
True,tokens_per_query,SYN-CSM-003,,1,long_context,1606.55
True,tokens_per_query,SYN-CSM-003,,1,dense_rag,1946.9
True,tokens_per_query,SYN-CSM-003,,1,hippo_rag,2014.2
True,tokens_per_query,SYN-CSM-003,,1,hybrid_rag,2038.9
True,tokens_per_query,SYN-CSM-003,,1,csm,2806.8
True,total_cost,SYN-CSM-003,,1,graph_rag,0.00987
True,total_cost,SYN-CSM-003,,1,csm,0.01182285
True,total_cost,SYN-CSM-003,,1,hippo_rag,0.00996615
True,total_cost,SYN-CSM-003,,1,dense_rag,0.009540599999999996
True,total_cost,SYN-CSM-003,,1,rolling_summary,0.012083999999999998
True,total_cost,SYN-CSM-003,,1,long_context,0.007810800000000001
True,total_cost,SYN-CSM-003,,1,hybrid_rag,0.010011899999999999
True,unsupported_claim_rate,SYN-CSM-003,,1,rolling_summary,1.0
True,unsupported_claim_rate,SYN-CSM-003,,1,hippo_rag,1.0
True,unsupported_claim_rate,SYN-CSM-003,,1,long_context,1.0
True,unsupported_claim_rate,SYN-CSM-003,,1,hybrid_rag,1.0
True,unsupported_claim_rate,SYN-CSM-003,,1,dense_rag,1.0
True,unsupported_claim_rate,SYN-CSM-003,,1,graph_rag,1.0
True,unsupported_claim_rate,SYN-CSM-003,,1,csm,1.0
