applicable,case_id,metric_name,repetition,system,value
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,csm,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,long_context,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,graph_rag,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,hybrid_rag,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,rolling_summary,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,hippo_rag,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,dense_rag,0.0
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,csm,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,rolling_summary,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,long_context,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,hybrid_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,hippo_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,dense_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,graph_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,csm,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,long_context,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,rolling_summary,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,graph_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,hybrid_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,dense_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,hippo_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,hybrid_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,rolling_summary,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,csm,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,long_context,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,hippo_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,graph_rag,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,dense_rag,
