ci95_high,ci95_low,direction,metric_name,n,rank,score,system,tie_with_top
0.0,0.0,higher_is_better,state_accuracy,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,state_accuracy,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,state_accuracy,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,state_accuracy,1,7,0.0,csm,True
0.0,0.0,higher_is_better,answer_accuracy,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,answer_accuracy,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,answer_accuracy,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,answer_accuracy,1,7,0.0,csm,True
1.0,1.0,lower_is_better,hallucination_rate,1,1,1.0,long_context,False
1.0,1.0,lower_is_better,hallucination_rate,1,2,1.0,rolling_summary,True
1.0,1.0,lower_is_better,hallucination_rate,1,3,1.0,dense_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,4,1.0,hybrid_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,5,1.0,graph_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,6,1.0,hippo_rag,True
1.0,1.0,lower_is_better,hallucination_rate,1,7,1.0,csm,True
0.0,0.0,higher_is_better,evidence_support_rate,1,1,0.0,long_context,False
0.0,0.0,higher_is_better,evidence_support_rate,1,2,0.0,rolling_summary,True
0.0,0.0,higher_is_better,evidence_support_rate,1,3,0.0,dense_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,4,0.0,hybrid_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,5,0.0,graph_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,6,0.0,hippo_rag,True
0.0,0.0,higher_is_better,evidence_support_rate,1,7,0.0,csm,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,1,1.0,long_context,False
1.0,1.0,lower_is_better,unsupported_claim_rate,1,2,1.0,rolling_summary,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,3,1.0,dense_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,4,1.0,hybrid_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,5,1.0,graph_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,6,1.0,hippo_rag,True
1.0,1.0,lower_is_better,unsupported_claim_rate,1,7,1.0,csm,True
0.20512820512820512,0.20512820512820512,lower_is_better,fabricated_citation_rate,1,1,0.20512820512820512,dense_rag,False
0.21621621621621623,0.21621621621621623,lower_is_better,fabricated_citation_rate,1,2,0.21621621621621623,hybrid_rag,False
0.22857142857142856,0.22857142857142856,lower_is_better,fabricated_citation_rate,1,3,0.22857142857142856,hippo_rag,False
0.23529411764705882,0.23529411764705882,lower_is_better,fabricated_citation_rate,1,4,0.23529411764705882,graph_rag,False
0.25,0.25,lower_is_better,fabricated_citation_rate,1,5,0.25,csm,False
0.5,0.5,lower_is_better,fabricated_citation_rate,1,6,0.5,long_context,False
0.5,0.5,lower_is_better,fabricated_citation_rate,1,7,0.5,rolling_summary,False
1.0,1.0,higher_is_better,faithfulness,1,1,1.0,rolling_summary,False
1.0,1.0,higher_is_better,faithfulness,1,2,1.0,dense_rag,True
1.0,1.0,higher_is_better,faithfulness,1,3,1.0,hybrid_rag,True
1.0,1.0,higher_is_better,faithfulness,1,4,1.0,graph_rag,True
1.0,1.0,higher_is_better,faithfulness,1,5,1.0,hippo_rag,True
0.9512195121951219,0.9512195121951219,higher_is_better,faithfulness,1,6,0.9512195121951219,csm,False
0.7948717948717948,0.7948717948717948,higher_is_better,faithfulness,1,7,0.7948717948717948,long_context,False
1.0,1.0,higher_is_better,groundedness,1,1,1.0,rolling_summary,False
1.0,1.0,higher_is_better,groundedness,1,2,1.0,dense_rag,True
1.0,1.0,higher_is_better,groundedness,1,3,1.0,hybrid_rag,True
1.0,1.0,higher_is_better,groundedness,1,4,1.0,graph_rag,True
1.0,1.0,higher_is_better,groundedness,1,5,1.0,hippo_rag,True
0.9512195121951219,0.9512195121951219,higher_is_better,groundedness,1,6,0.9512195121951219,csm,False
0.7948717948717948,0.7948717948717948,higher_is_better,groundedness,1,7,0.7948717948717948,long_context,False
0.7405555555555554,0.7405555555555554,lower_is_better,expected_calibration_error,1,1,0.7405555555555554,hybrid_rag,False
0.7763888888888886,0.7763888888888886,lower_is_better,expected_calibration_error,1,2,0.7763888888888886,graph_rag,False
0.7911111111111111,0.7911111111111111,lower_is_better,expected_calibration_error,1,3,0.7911111111111111,dense_rag,False
0.8231111111111111,0.8231111111111111,lower_is_better,expected_calibration_error,1,4,0.8231111111111111,hippo_rag,False
0.8739473684210521,0.8739473684210521,lower_is_better,expected_calibration_error,1,5,0.8739473684210521,csm,False
0.927857142857143,0.927857142857143,lower_is_better,expected_calibration_error,1,6,0.927857142857143,long_context,False
0.9426829268292682,0.9426829268292682,lower_is_better,expected_calibration_error,1,7,0.9426829268292682,rolling_summary,False
0.39999999999999997,0.39999999999999997,higher_is_better,lineage_citation_f1,1,1,0.39999999999999997,long_context,False
0.3018867924528302,0.3018867924528302,higher_is_better,lineage_citation_f1,1,2,0.3018867924528302,dense_rag,False
0.2745098039215686,0.2745098039215686,higher_is_better,lineage_citation_f1,1,3,0.2745098039215686,hybrid_rag,False
0.26086956521739124,0.26086956521739124,higher_is_better,lineage_citation_f1,1,4,0.26086956521739124,csm,False
0.20833333333333334,0.20833333333333334,higher_is_better,lineage_citation_f1,1,5,0.20833333333333334,graph_rag,False
0.20408163265306123,0.20408163265306123,higher_is_better,lineage_citation_f1,1,6,0.20408163265306123,hippo_rag,False
0.06666666666666667,0.06666666666666667,higher_is_better,lineage_citation_f1,1,7,0.06666666666666667,rolling_summary,False
0.75,0.75,higher_is_better,retrieval_precision,1,1,0.75,long_context,False
0.2857142857142857,0.2857142857142857,higher_is_better,retrieval_precision,1,2,0.2857142857142857,hybrid_rag,False
0.2619047619047619,0.2619047619047619,higher_is_better,retrieval_precision,1,3,0.2619047619047619,dense_rag,False
0.2619047619047619,0.2619047619047619,higher_is_better,retrieval_precision,1,4,0.2619047619047619,hippo_rag,False
0.24390243902439024,0.24390243902439024,higher_is_better,retrieval_precision,1,5,0.24390243902439024,graph_rag,False
0.20588235294117646,0.20588235294117646,higher_is_better,retrieval_precision,1,6,0.20588235294117646,csm,False
0.1111111111111111,0.1111111111111111,higher_is_better,retrieval_precision,1,7,0.1111111111111111,rolling_summary,False
0.8571428571428571,0.8571428571428571,higher_is_better,retrieval_recall,1,1,0.8571428571428571,hybrid_rag,False
0.7857142857142857,0.7857142857142857,higher_is_better,retrieval_recall,1,2,0.7857142857142857,dense_rag,False
0.7857142857142857,0.7857142857142857,higher_is_better,retrieval_recall,1,3,0.7857142857142857,hippo_rag,False
0.7142857142857143,0.7142857142857143,higher_is_better,retrieval_recall,1,4,0.7142857142857143,graph_rag,False
0.5,0.5,higher_is_better,retrieval_recall,1,5,0.5,csm,False
0.42857142857142855,0.42857142857142855,higher_is_better,retrieval_recall,1,6,0.42857142857142855,long_context,False
0.07142857142857142,0.07142857142857142,higher_is_better,retrieval_recall,1,7,0.07142857142857142,rolling_summary,False
1606.55,1606.55,lower_is_better,tokens_per_query,1,1,1606.55,long_context,False
1946.9,1946.9,lower_is_better,tokens_per_query,1,2,1946.9,dense_rag,False
2014.2,2014.2,lower_is_better,tokens_per_query,1,3,2014.2,hippo_rag,False
2038.9,2038.9,lower_is_better,tokens_per_query,1,4,2038.9,hybrid_rag,False
2055.05,2055.05,lower_is_better,tokens_per_query,1,5,2055.05,graph_rag,False
2665.85,2665.85,lower_is_better,tokens_per_query,1,6,2665.85,rolling_summary,False
2806.8,2806.8,lower_is_better,tokens_per_query,1,7,2806.8,csm,False
24681.5,24681.5,lower_is_better,p95_latency,1,1,24681.5,dense_rag,False
32345.70000000001,32345.70000000001,lower_is_better,p95_latency,1,2,32345.70000000001,long_context,False
33109.45000000007,33109.45000000007,lower_is_better,p95_latency,1,3,33109.45000000007,hybrid_rag,False
128126.0,128126.0,lower_is_better,p95_latency,1,4,128126.0,hippo_rag,False
128236.65000000001,128236.65000000001,lower_is_better,p95_latency,1,5,128236.65000000001,csm,False
132759.50000000006,132759.50000000006,lower_is_better,p95_latency,1,6,132759.50000000006,rolling_summary,False
135010.5000000001,135010.5000000001,lower_is_better,p95_latency,1,7,135010.5000000001,graph_rag,False
0.007810800000000001,0.007810800000000001,lower_is_better,total_cost,1,1,0.007810800000000001,long_context,False
0.009540599999999996,0.009540599999999996,lower_is_better,total_cost,1,2,0.009540599999999996,dense_rag,False
0.00987,0.00987,lower_is_better,total_cost,1,3,0.00987,graph_rag,False
0.00996615,0.00996615,lower_is_better,total_cost,1,4,0.00996615,hippo_rag,False
0.010011899999999999,0.010011899999999999,lower_is_better,total_cost,1,5,0.010011899999999999,hybrid_rag,False
0.01182285,0.01182285,lower_is_better,total_cost,1,6,0.01182285,csm,False
0.012083999999999998,0.012083999999999998,lower_is_better,total_cost,1,7,0.012083999999999998,rolling_summary,False
