calculation_reason,canonical_source_id,expected_canonical_ids,patient,question_id,question_number,rank,relevance_classification,relevant,resolution_status,resolved_canonical_ids,retrieval_item_id,system,system_native_id,system_native_type,turn_id
retrieval_identifier_canonicalized,8debd3a9-7d56-4f30-8e39-6c382f8eac5f,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,1,relevant,True,resolved,"[""28db4b51-67c3-414a-a3a3-3e924c985a4c"", ""6380a473-ff27-48a6-88fb-507eab7c0870"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f""]",d8645de2-d6d0-4b2a-882a-3f90f1a17145,dense_rag,8e045e94-82a5-43e0-bb82-730575bf5503,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,66a24697-9176-49ad-a3c7-71d68813d9e1,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,2,relevant,True,resolved,"[""66a24697-9176-49ad-a3c7-71d68813d9e1""]",3207aae0-7d7f-47c4-82d2-f1f53c7a6b94,dense_rag,c35efe67-49b7-4f43-b620-0540e7d53876,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,c1b10f0c-5675-4c5f-bffc-f24e9f380099,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,3,not_relevant,False,resolved,"[""408bf167-2939-429a-bb9a-1e636e81663a"", ""c1b10f0c-5675-4c5f-bffc-f24e9f380099"", ""ea22f61d-c434-4ab6-a7c3-2b6b6925ebd2""]",98ad1c14-e1dd-4f9b-9f02-86e88619fcf5,dense_rag,51266015-0fa7-4801-8287-a44efd7e06c6,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,9fe1621d-2a1f-4690-96ba-cae5df236aec,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,4,not_relevant,False,resolved,"[""9fe1621d-2a1f-4690-96ba-cae5df236aec""]",358eee92-a20e-4584-b161-e211fa0fa7aa,dense_rag,13c17d65-f655-44bd-a1ff-b53d8aa320af,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,66e57bbe-fb68-43c7-810c-23a150eaae26,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,5,not_relevant,False,resolved,"[""66e57bbe-fb68-43c7-810c-23a150eaae26""]",aaed7036-30aa-45cb-a1ea-746e3165cc0a,dense_rag,800f3092-bd39-45c7-9c43-be359f9013e9,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,e25767af-00d0-4d6e-b3ce-2e327cf2b194,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,6,not_relevant,False,resolved,"[""3342ad74-fe44-4aee-a72e-81ce2b8a979a"", ""6fcea49c-4ee2-4166-93db-982c100f3232"", ""e25767af-00d0-4d6e-b3ce-2e327cf2b194""]",321c9ef3-23b8-4626-bf87-091cfa794b1c,dense_rag,869ff1da-d8d8-45da-a34b-0d2250cb910b,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,4fdcc52a-620f-473e-9e57-a60aa870366b,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,7,not_relevant,False,resolved,"[""4fdcc52a-620f-473e-9e57-a60aa870366b""]",beef2b6c-8f06-4dae-badc-be13e196ad34,dense_rag,20072fb2-c4c2-4ff1-8543-92aa65b83fac,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,3a49520b-8fee-45f8-934d-9d52db21acf5,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,8,not_relevant,False,resolved,"[""3a49520b-8fee-45f8-934d-9d52db21acf5"", ""932962db-18db-4e8d-8e98-19525df0629a"", ""b29a2bb5-7d1d-4731-b714-6203d0d4b3b1""]",8ed43c34-ed1a-4f9a-9a91-4eb0ff001b52,dense_rag,43c13612-abd6-47b3-9032-45368f80a964,dense_rag_chunk,0f23168d-3046-46e0-815c-5f1ef08164f3
retrieval_identifier_canonicalized,66a24697-9176-49ad-a3c7-71d68813d9e1,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,1,relevant,True,resolved,"[""66a24697-9176-49ad-a3c7-71d68813d9e1""]",ca6485f0-ccf9-4c95-a659-4a08857696a8,hippo_rag,31c72106-6a2d-4922-9956-e80c667f96a1,hippo_passage_node,15177c9a-24d3-47fc-8de8-046471063773
retrieval_identifier_canonicalized,8debd3a9-7d56-4f30-8e39-6c382f8eac5f,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f"", ""66a24697-9176-49ad-a3c7-71d68813d9e1"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f"", ""False""]",SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,2,relevant,True,resolved,"[""28db4b51-67c3-414a-a3a3-3e924c985a4c"", ""6380a473-ff27-48a6-88fb-507eab7c0870"", ""8debd3a9-7d56-4f30-8e39-6c382f8eac5f""]",f6b40b3d-f7ce-40c7-8607-674e950259ed,hippo_rag,64c4a449-6ab8-4983-b53a-eb0a919a2816,hippo_passage_node,15177c9a-24d3-47fc-8de8-046471063773
