metric_name,observation_count,rank,system,value
state_accuracy,2,1,csm,0.0
temporal_consistency,5,1,dense_rag,0.4666666666666666
temporal_consistency,5,2,csm,0.4
temporal_consistency,5,3,rolling_summary,0.3333333333333333
temporal_consistency,5,3,hybrid_rag,0.3333333333333333
temporal_consistency,5,3,graph_rag,0.3333333333333333
temporal_consistency,5,6,long_context,0.26666666666666666
temporal_consistency,5,6,hippo_rag,0.26666666666666666
decision_f1,1,1,long_context,0.0
decision_f1,1,1,rolling_summary,0.0
decision_f1,1,1,dense_rag,0.0
decision_f1,1,1,hybrid_rag,0.0
decision_f1,1,1,graph_rag,0.0
decision_f1,1,1,hippo_rag,0.0
decision_f1,1,1,csm,0.0
answer_accuracy,20,1,dense_rag,0.17083333333333334
answer_accuracy,20,2,graph_rag,0.12392246642246643
answer_accuracy,20,3,hybrid_rag,0.12083333333333332
answer_accuracy,20,4,csm,0.12
answer_accuracy,20,5,hippo_rag,0.11444444444444443
answer_accuracy,20,6,rolling_summary,0.10333333333333332
answer_accuracy,20,7,long_context,0.08583333333333334
hallucination_rate,20,1,rolling_summary,0.0
hallucination_rate,20,1,graph_rag,0.0
hallucination_rate,20,1,hippo_rag,0.0
hallucination_rate,20,4,hybrid_rag,0.041666666666666664
hallucination_rate,20,5,csm,0.075
hallucination_rate,20,6,dense_rag,0.08333333333333333
hallucination_rate,20,7,long_context,0.225
evidence_support_rate,20,1,graph_rag,0.5966666666666667
evidence_support_rate,20,2,hippo_rag,0.5895833333333333
evidence_support_rate,20,3,rolling_summary,0.5875
evidence_support_rate,20,4,dense_rag,0.5833333333333334
evidence_support_rate,20,5,hybrid_rag,0.5666666666666667
evidence_support_rate,20,6,csm,0.525
evidence_support_rate,20,7,long_context,0.45833333333333337
unsupported_claim_rate,20,1,rolling_summary,0.0
unsupported_claim_rate,20,1,graph_rag,0.0
unsupported_claim_rate,20,1,hippo_rag,0.0
unsupported_claim_rate,20,4,hybrid_rag,0.041666666666666664
unsupported_claim_rate,20,5,csm,0.075
unsupported_claim_rate,20,6,dense_rag,0.08333333333333333
unsupported_claim_rate,20,7,long_context,0.225
fabricated_citation_rate,16,1,long_context,0.0
fabricated_citation_rate,20,1,rolling_summary,0.0
fabricated_citation_rate,20,1,hybrid_rag,0.0
fabricated_citation_rate,20,1,graph_rag,0.0
fabricated_citation_rate,20,1,hippo_rag,0.0
fabricated_citation_rate,19,1,csm,0.0
fabricated_citation_rate,20,7,dense_rag,0.00909090909090909
faithfulness,20,1,graph_rag,0.5966666666666667
faithfulness,20,2,hippo_rag,0.5895833333333333
faithfulness,20,3,rolling_summary,0.5875
faithfulness,20,4,dense_rag,0.5833333333333334
faithfulness,20,5,hybrid_rag,0.5666666666666667
faithfulness,20,6,csm,0.525
faithfulness,20,7,long_context,0.45833333333333337
groundedness,20,1,graph_rag,0.5966666666666667
groundedness,20,2,hippo_rag,0.5895833333333333
groundedness,20,3,rolling_summary,0.5875
groundedness,20,4,dense_rag,0.5833333333333334
groundedness,20,5,hybrid_rag,0.5666666666666667
groundedness,20,6,csm,0.525
groundedness,20,7,long_context,0.45833333333333337
expected_calibration_error,17,1,rolling_summary,0.03823529411764707
expected_calibration_error,18,2,graph_rag,0.05515873015873015
expected_calibration_error,19,3,hippo_rag,0.06710526315789474
expected_calibration_error,19,4,hybrid_rag,0.12960526315789475
expected_calibration_error,19,5,csm,0.13094736842105262
expected_calibration_error,14,6,long_context,0.14107142857142857
expected_calibration_error,19,7,dense_rag,0.15964912280701757
lineage_citation_f1,20,1,graph_rag,0.3777718204734334
lineage_citation_f1,20,2,hippo_rag,0.3561190443543385
lineage_citation_f1,20,3,hybrid_rag,0.35428560002089415
lineage_citation_f1,20,4,dense_rag,0.2378998778998779
lineage_citation_f1,20,5,rolling_summary,0.17406417112299463
lineage_citation_f1,19,6,csm,0.11707152496626182
lineage_citation_f1,16,7,long_context,0.053030303030303025
contradiction_handling,1,1,long_context,0.0
contradiction_handling,1,1,rolling_summary,0.0
contradiction_handling,1,1,dense_rag,0.0
contradiction_handling,1,1,hybrid_rag,0.0
contradiction_handling,1,1,graph_rag,0.0
contradiction_handling,1,1,hippo_rag,0.0
contradiction_handling,1,1,csm,0.0
retrieval_precision,20,1,hippo_rag,0.18181547619047617
retrieval_precision,20,2,dense_rag,0.178302392052392
retrieval_precision,20,3,rolling_summary,0.17727272727272728
retrieval_precision,20,4,hybrid_rag,0.17662698412698413
retrieval_precision,20,5,graph_rag,0.16878968253968255
retrieval_precision,20,6,csm,0.05680555555555557
retrieval_precision,20,7,long_context,0.01875
retrieval_recall,20,1,hippo_rag,0.49885251322751334
retrieval_recall,20,2,graph_rag,0.47635251322751326
retrieval_recall,20,3,hybrid_rag,0.4518963443963444
retrieval_recall,20,4,dense_rag,0.3568647787397787
retrieval_recall,20,5,rolling_summary,0.2897829485329485
retrieval_recall,20,6,csm,0.1480871212121212
retrieval_recall,20,7,long_context,0.03125
activation_precision,20,1,csm,0.05680555555555557
activation_recall,20,1,csm,0.1480871212121212
tokens_per_query,20,1,long_context,1522.1
tokens_per_query,20,2,dense_rag,1975.7
tokens_per_query,20,3,hybrid_rag,2103.75
tokens_per_query,20,4,graph_rag,2180.6
tokens_per_query,20,5,hippo_rag,2200.15
tokens_per_query,20,6,rolling_summary,2428.5
tokens_per_query,20,7,csm,2836.25
p95_latency,20,1,long_context,27091.0
p95_latency,20,2,rolling_summary,66631.0
p95_latency,20,3,dense_rag,78456.0
p95_latency,20,4,csm,127248.0
p95_latency,20,5,hybrid_rag,127761.0
p95_latency,20,6,graph_rag,128301.0
p95_latency,20,7,hippo_rag,128425.0
provider_generation_latency_ms,20,1,long_context,17976.55
provider_generation_latency_ms,20,2,rolling_summary,31644.6
