answer_accuracy,answer_hash,contradiction_handling,correction_recovery,decision_f1,evidence_support_rate,expected_calibration_error,fabricated_citation_rate,faithfulness,groundedness,hallucination_rate,lineage_citation_f1,memory_update_accuracy,p95_latency,patient,question_id,question_number,retrieval_precision,retrieval_recall,state_accuracy,state_recovery_time,system,temporal_consistency,tokens_per_query,total_cost,turn_id,unsupported_claim_rate
0.6666666666666666,3427f63702aacfc211bb9ed7da50f67c15315c1c506dbed29dd8c2900434c078,,,,1.0,0.15500000000000003,0.0,1.0,1.0,0.0,0.4,,18545,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,0.125,0.5,,,dense_rag,,2252,0.0005785499999999999,0f23168d-3046-46e0-815c-5f1ef08164f3,0.0
0.4,d77771200f4670c703f15777595461c2af12a7fce686cb3824d86c46aa2eec1d,,,,1.0,0.09999999999999998,0.0,1.0,1.0,0.0,0.4444444444444445,,126132,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,0.1875,0.75,,,hippo_rag,,2101,0.0004695,15177c9a-24d3-47fc-8de8-046471063773,0.0
0.4,55172fd880dddc4f75d6f9690bdf48501fa46df6385b671185cc291bcf34a0e3,,,,1.0,0.050000000000000044,0.0,1.0,1.0,0.0,0.4444444444444445,,123486,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,0.125,0.5,,,graph_rag,,2117,0.0005051999999999999,4f84da9d-a1c5-4e08-b298-d96ca7847396,0.0
0.0,386effbd9f5f8984a11daab348ae01b5bda1e7e7b27823c3017372a90185319c,,,,0.5,0.050000000000000044,0.0,0.5,0.5,0.0,0.25,,126274,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,0.2,0.5,,,csm,,2784,0.0005292,9d7ee87e-3c7e-4c58-bc18-20896416adda,0.0
0.4,31f1aa299a95a8b326ae2e5d71ca497151fe20037af56e68db10adca403f54cd,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,34446,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,0.0,0.0,,,rolling_summary,,2124,0.0004986,c36e3160-c1aa-4aa9-a6c1-0291486c4b29,0.0
0.4,5cde6b1de750386a789a9d2fe9c42c54e935c167486a7a34a4fc7df167263720,,,,1.0,,0.0,1.0,1.0,0.0,0.3333333333333333,,5083,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,0.125,0.25,,,long_context,,1446,0.00032264999999999996,c3f97057-f039-4213-aa2c-05b491b6bdd9,0.0
0.6666666666666666,b78f2a9130c253ab67d90a94ec2d560d654d13c4958bf373d4295ee63830af5e,,,,1.0,0.05500000000000005,0.0,1.0,1.0,0.0,0.4,,69377,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,0.125,0.5,,,hybrid_rag,,2298,0.0005885999999999999,f853ff3d-0959-4037-bf03-89ecea6631de,0.0
0.6666666666666666,b56a9058b1ca9325762aca5312d58bbb213cb86138f86cbcec67246d293a61d1,,,,1.0,0.050000000000000044,0.0,1.0,1.0,0.0,0.3333333333333333,,66353,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,0.14285714285714285,0.6666666666666666,,,hybrid_rag,,1897,0.00041055,01b1e00e-b780-4103-abdb-7b1e75300d82,0.0
0.6666666666666666,b56a9058b1ca9325762aca5312d58bbb213cb86138f86cbcec67246d293a61d1,,,,1.0,,0.0,1.0,1.0,0.0,0.28571428571428575,,126025,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,0.125,0.6666666666666666,,,graph_rag,,1948,0.00041955,2d5b46b0-0eca-4247-b73f-57cb97d6cd69,0.0
0.6666666666666666,b56a9058b1ca9325762aca5312d58bbb213cb86138f86cbcec67246d293a61d1,,,,1.0,0.050000000000000044,0.0,1.0,1.0,0.0,0.28571428571428575,,125596,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,0.125,0.6666666666666666,,,hippo_rag,,1946,0.0004192499999999999,4d89b37d-a049-471a-9e11-d38fdaae1435,0.0
