applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,missing_expected_decision_labels,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,missing_expected_decision_labels,hippo_rag,15177c9a-24d3-47fc-8de8-046471063773
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,missing_expected_decision_labels,graph_rag,4f84da9d-a1c5-4e08-b298-d96ca7847396
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,missing_expected_decision_labels,csm,9d7ee87e-3c7e-4c58-bc18-20896416adda
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,missing_expected_decision_labels,rolling_summary,c36e3160-c1aa-4aa9-a6c1-0291486c4b29
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,missing_expected_decision_labels,long_context,c3f97057-f039-4213-aa2c-05b491b6bdd9
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,missing_expected_decision_labels,hybrid_rag,f853ff3d-0959-4037-bf03-89ecea6631de
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,missing_expected_decision_labels,hybrid_rag,01b1e00e-b780-4103-abdb-7b1e75300d82
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,missing_expected_decision_labels,graph_rag,2d5b46b0-0eca-4247-b73f-57cb97d6cd69
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,missing_expected_decision_labels,hippo_rag,4d89b37d-a049-471a-9e11-d38fdaae1435
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,missing_expected_decision_labels,dense_rag,6ae8336f-de9d-49fb-9d3d-f41563434cfe
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,missing_expected_decision_labels,rolling_summary,738b4a20-c8b0-45d0-b8c3-5fab21b52433
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,missing_expected_decision_labels,csm,ca17aea7-def7-42c4-b9fe-56607d9e5ec5
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,missing_expected_decision_labels,long_context,d85773b2-88a0-4dd3-84c2-615bcbcd0a75
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,d643813f-7e4b-4c5b-b818-279664a78cb1,3,missing_expected_decision_labels,long_context,3e7a4b97-2eac-4a28-b1b8-7f9c66a49e7c
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,d643813f-7e4b-4c5b-b818-279664a78cb1,3,missing_expected_decision_labels,dense_rag,61ece6d7-28b7-47e5-99e4-3e322664d76c
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,d643813f-7e4b-4c5b-b818-279664a78cb1,3,missing_expected_decision_labels,csm,a758fcb3-ec76-40fe-a487-c180b2ee4bae
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,d643813f-7e4b-4c5b-b818-279664a78cb1,3,missing_expected_decision_labels,hybrid_rag,c998e3ea-b802-44c9-babe-32fe6c296420
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,d643813f-7e4b-4c5b-b818-279664a78cb1,3,missing_expected_decision_labels,rolling_summary,e7f7a46e-b4f0-49c6-98bc-116ef4d5ab64
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,d643813f-7e4b-4c5b-b818-279664a78cb1,3,missing_expected_decision_labels,hippo_rag,fb2e7e50-11eb-4cd4-9720-0adb628a521f
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,d643813f-7e4b-4c5b-b818-279664a78cb1,3,missing_expected_decision_labels,graph_rag,fe5f3ac1-5408-4c9e-8bfe-0b83ac335a4c
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-002,1d986722-96bb-4cc0-b65e-0c2bfc4886ce,4,missing_expected_decision_labels,hippo_rag,36d0c589-b841-4857-892b-99ec538c6d2e
