absolute_difference,csm_v1_ci_high,csm_v1_ci_low,csm_v1_observation_count,csm_v1_value,csm_v2_ci_high,csm_v2_ci_low,csm_v2_observation_count,csm_v2_value,evaluator_compatibility,metric_definition_changed,metric_name,relative_difference,statistically_tested
0.0,0.08611111111111112,0.03026388888888889,20,0.05680555555555557,0.08611111111111112,0.03026388888888889,20,0.05680555555555557,same_offline_observation_level_evaluator,False,activation_precision,0.0,True
0.0,0.24073721590909086,0.062388731060606065,20,0.1480871212121212,0.24073721590909086,0.062388731060606065,20,0.1480871212121212,same_offline_observation_level_evaluator,False,activation_recall,0.0,True
0.0,0.20766666666666653,0.03947916666666667,20,0.12,0.20766666666666653,0.03947916666666667,20,0.12,same_offline_observation_level_evaluator,False,answer_accuracy,0.0,True
0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,same_offline_observation_level_evaluator,False,contradiction_handling,,False
,,,0,,,,0,,same_offline_observation_level_evaluator,False,correction_recovery,,False
0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,same_offline_observation_level_evaluator,False,decision_f1,,False
0.0,0.6,0.45,20,0.525,0.6,0.45,20,0.525,same_offline_observation_level_evaluator,False,evidence_support_rate,0.0,True
0.0,0.23466293859649118,0.06343135964912283,19,0.13094736842105262,0.23466293859649118,0.06343135964912283,19,0.13094736842105262,same_offline_observation_level_evaluator,False,expected_calibration_error,0.0,True
0.0,0.0,0.0,19,0.0,0.0,0.0,19,0.0,same_offline_observation_level_evaluator,False,fabricated_citation_rate,,True
0.0,0.6,0.45,20,0.525,0.6,0.45,20,0.525,same_offline_observation_level_evaluator,False,faithfulness,0.0,True
0.0,0.6,0.45,20,0.525,0.6,0.45,20,0.525,same_offline_observation_level_evaluator,False,groundedness,0.0,True
0.0,0.18812499999999943,0.0,20,0.075,0.18812499999999943,0.0,20,0.075,same_offline_observation_level_evaluator,False,hallucination_rate,0.0,True
0.0,0.18330521817363918,0.05844298245614035,19,0.11707152496626182,0.18330521817363918,0.05844298245614035,19,0.11707152496626182,same_offline_observation_level_evaluator,False,lineage_citation_f1,0.0,True
0.0,1.0,0.0,2,0.5,1.0,0.0,2,0.5,same_offline_observation_level_evaluator,False,memory_update_accuracy,0.0,True
0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,same_offline_observation_level_evaluator,False,offline_csm_update_cost,,True
0.0,0.0006383919374999998,0.0005508875624999999,20,0.000588765,0.0006383919374999998,0.0005508875624999999,20,0.000588765,same_offline_observation_level_evaluator,False,online_query_cost,0.0,True
0.0,126331.88625,124545.87,20,125474.65,126331.88625,124545.87,20,125474.65,same_offline_observation_level_evaluator,False,operational_wall_clock_latency_ms,0.0,True
0.0,126297.23625,124510.23875,20,127248.0,126297.23625,124510.23875,20,127248.0,same_offline_observation_level_evaluator,False,p95_latency,0.0,True
0.0,126297.23625,124510.23875,20,125439.85,126297.23625,124510.23875,20,125439.85,same_offline_observation_level_evaluator,False,processing_latency_ms,0.0,True
0.0,126297.23625,124510.23875,20,125439.85,126297.23625,124510.23875,20,125439.85,same_offline_observation_level_evaluator,False,provider_generation_latency_ms,0.0,True
0.0,36.35,33.12375,20,34.8,36.35,33.12375,20,34.8,same_offline_observation_level_evaluator,False,retrieval_activation_latency_ms,0.0,True
0.0,0.08611111111111112,0.03026388888888889,20,0.05680555555555557,0.08611111111111112,0.03026388888888889,20,0.05680555555555557,same_offline_observation_level_evaluator,False,retrieval_precision,0.0,True
0.0,0.24073721590909086,0.062388731060606065,20,0.1480871212121212,0.24073721590909086,0.062388731060606065,20,0.1480871212121212,same_offline_observation_level_evaluator,False,retrieval_recall,0.0,True
0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,same_offline_observation_level_evaluator,False,state_accuracy,,True
,,,0,,,,0,,same_offline_observation_level_evaluator,False,state_recovery_time,,False
0.0,0.6,0.13333333333333333,5,0.4,0.6,0.13333333333333333,5,0.4,same_offline_observation_level_evaluator,False,temporal_consistency,0.0,True
0.0,2914.35375,2772.2875,20,2836.25,2914.35375,2772.2875,20,2836.25,same_offline_observation_level_evaluator,False,tokens_per_query,0.0,True
0.0,0.0006383919374999998,0.0005508875624999999,20,0.011775299999999999,0.0006383919374999998,0.0005508875624999999,20,0.011775299999999999,same_offline_observation_level_evaluator,False,total_cost,0.0,True
0.0,0.18812499999999943,0.0,20,0.075,0.18812499999999943,0.0,20,0.075,same_offline_observation_level_evaluator,False,unsupported_claim_rate,0.0,True
