applicable,calculation_reason,f1,false_negative,false_positive,patient,precision,question_id,question_number,reason_not_applicable,recall,system,true_positive,turn_id
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-002,1.0,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,,0.5,dense_rag,2,0f23168d-3046-46e0-815c-5f1ef08164f3
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-002,1.0,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,,0.25,hippo_rag,1,15177c9a-24d3-47fc-8de8-046471063773
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-002,1.0,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,,0.25,graph_rag,1,4f84da9d-a1c5-4e08-b298-d96ca7847396
True,claim_level_precision_recall_f1_without_claim_id_matching,0.0,4,1,SYN-CSM-002,0.0,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,,0.0,csm,0,9d7ee87e-3c7e-4c58-bc18-20896416adda
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-002,1.0,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,,0.25,rolling_summary,1,c36e3160-c1aa-4aa9-a6c1-0291486c4b29
True,claim_level_precision_recall_f1_without_claim_id_matching,0.4,3,0,SYN-CSM-002,1.0,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,,0.25,long_context,1,c3f97057-f039-4213-aa2c-05b491b6bdd9
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,2,0,SYN-CSM-002,1.0,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,,0.5,hybrid_rag,2,f853ff3d-0959-4037-bf03-89ecea6631de
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-002,1.0,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,,0.5,hybrid_rag,1,01b1e00e-b780-4103-abdb-7b1e75300d82
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-002,1.0,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,,0.5,graph_rag,1,2d5b46b0-0eca-4247-b73f-57cb97d6cd69
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-002,1.0,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,,0.5,hippo_rag,1,4d89b37d-a049-471a-9e11-d38fdaae1435
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-002,1.0,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,,0.5,dense_rag,1,6ae8336f-de9d-49fb-9d3d-f41563434cfe
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-002,1.0,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,,0.5,rolling_summary,1,738b4a20-c8b0-45d0-b8c3-5fab21b52433
True,claim_level_precision_recall_f1_without_claim_id_matching,0.6666666666666666,1,0,SYN-CSM-002,1.0,3d39af0b-3a26-44b7-9b4c-b1db57a4e317,2,,0.5,csm,1,ca17aea7-def7-42c4-b9fe-56607d9e5ec5
