ci_high,ci_low,completed_turns,direction,iqr,max,mean,median,metric_name,min,observation_count,patient,questions,reason_not_applicable,repetitions,stddev,system,systems,total_rows,value
,,140,higher_is_better,,,,,state_accuracy,,0,SYN-CSM-001,20,state_table_metric_only_applicable_to_csm,1,,long_context,7,20,
0.3333333333333333,0.13333333333333333,140,higher_is_better,0.0,0.3333333333333333,0.26666666666666666,0.3333333333333333,temporal_consistency,0.0,5,SYN-CSM-001,20,,1,0.14907119849998596,long_context,7,20,0.26666666666666666
0.0,0.0,140,higher_is_better,0.0,0.0,0.0,0.0,decision_f1,0.0,1,SYN-CSM-001,20,,1,0.0,long_context,7,20,0.0
0.17210416666666664,0.0125,140,higher_is_better,0.0,0.6666666666666666,0.08583333333333334,0.0,answer_accuracy,0.0,20,SYN-CSM-001,20,,1,0.18912502439867965,long_context,7,20,0.08583333333333334
0.425,0.05,140,lower_is_better,0.125,1.0,0.225,0.0,hallucination_rate,0.0,20,SYN-CSM-001,20,,1,0.4127889737409483,long_context,7,20,0.225
0.5771875,0.3311458333333333,140,higher_is_better,0.0625,1.0,0.45833333333333337,0.5,evidence_support_rate,0.0,20,SYN-CSM-001,20,,1,0.2918232662305223,long_context,7,20,0.45833333333333337
0.425,0.05,140,lower_is_better,0.125,1.0,0.225,0.0,unsupported_claim_rate,0.0,20,SYN-CSM-001,20,,1,0.4127889737409483,long_context,7,20,0.225
0.0,0.0,140,lower_is_better,0.0,0.0,0.0,0.0,fabricated_citation_rate,0.0,16,SYN-CSM-001,20,,1,0.0,long_context,7,20,0.0
0.5771875,0.3311458333333333,140,higher_is_better,0.0625,1.0,0.45833333333333337,0.5,faithfulness,0.0,20,SYN-CSM-001,20,,1,0.2918232662305223,long_context,7,20,0.45833333333333337
0.5771875,0.3311458333333333,140,higher_is_better,0.0625,1.0,0.45833333333333337,0.5,groundedness,0.0,20,SYN-CSM-001,20,,1,0.2918232662305223,long_context,7,20,0.45833333333333337
0.27236607142857144,0.057142857142857134,140,lower_is_better,0.04999999999999996,0.9,0.14107142857142857,0.09999999999999998,expected_calibration_error,0.0,14,SYN-CSM-001,20,,1,0.22820519251346996,long_context,7,20,0.14107142857142857
0.11553030303030302,0.0,140,higher_is_better,0.0,0.3333333333333333,0.053030303030303025,0.0,lineage_citation_f1,0.0,16,SYN-CSM-001,20,,1,0.11840176373408164,long_context,7,20,0.053030303030303025
0.0,0.0,140,higher_is_better,0.0,0.0,0.0,0.0,contradiction_handling,0.0,1,SYN-CSM-001,20,,1,0.0,long_context,7,20,0.0
,,140,higher_is_better,,,,,correction_recovery,,0,SYN-CSM-001,20,no_correction_case,1,,long_context,7,20,
0.0375,0.0,140,higher_is_better,0.0,0.125,0.01875,0.0,retrieval_precision,0.0,20,SYN-CSM-001,20,,1,0.0457934435665654,long_context,7,20,0.01875
0.0625,0.0,140,higher_is_better,0.0,0.25,0.03125,0.0,retrieval_recall,0.0,20,SYN-CSM-001,20,,1,0.07983329670731314,long_context,7,20,0.03125
,,140,higher_is_better,,,,,activation_precision,,0,SYN-CSM-001,20,activation_metric_only_applicable_to_csm,1,,long_context,7,20,
,,140,higher_is_better,,,,,activation_recall,,0,SYN-CSM-001,20,activation_metric_only_applicable_to_csm,1,,long_context,7,20,
1592.12875,1469.89625,140,lower_is_better,142.0,1933.0,1522.1,1459.0,tokens_per_query,1396.0,20,SYN-CSM-001,20,,1,140.0097365035356,long_context,7,20,1522.1
20481.23,15291.0125,140,lower_is_better,5931.75,29804.0,17976.55,18357.5,p95_latency,5029.0,20,SYN-CSM-001,20,,1,6117.266283793939,long_context,7,20,27091.0
20481.23,15291.0125,140,lower_is_better,5931.75,29804.0,17976.55,18357.5,provider_generation_latency_ms,5029.0,20,SYN-CSM-001,20,,1,6117.266283793939,long_context,7,20,17976.55
8.4,6.9,140,lower_is_better,3.0,12.0,7.7,8.0,retrieval_activation_latency_ms,5.0,20,SYN-CSM-001,20,,1,1.7501879598308412,long_context,7,20,7.7
20481.23,15291.0125,140,lower_is_better,5931.75,29804.0,17976.55,18357.5,processing_latency_ms,5029.0,20,SYN-CSM-001,20,,1,6117.266283793939,long_context,7,20,17976.55
20489.2325,15298.105,140,lower_is_better,5933.0,29812.0,17984.25,18366.0,operational_wall_clock_latency_ms,5035.0,20,SYN-CSM-001,20,,1,6117.58880842341,long_context,7,20,17984.25
0.0004052139374999999,0.00033229424999999994,140,lower_is_better,8.279999999999995e-05,0.0006076499999999999,0.000363225,0.00032954999999999996,online_query_cost,0.0002847,20,SYN-CSM-001,20,,1,8.28857036431558e-05,long_context,7,20,0.000363225
,,140,lower_is_better,,,,,offline_csm_update_cost,,0,SYN-CSM-001,20,offline_update_cost_only_recorded_for_csm,1,,long_context,7,20,
0.0004052139374999999,0.00033229424999999994,140,lower_is_better,8.279999999999995e-05,0.0006076499999999999,0.000363225,0.00032954999999999996,total_cost,0.0002847,20,SYN-CSM-001,20,,1,8.28857036431558e-05,long_context,7,20,0.0072645
1.0,0.5,140,higher_is_better,0.25,1.0,0.75,0.75,memory_update_accuracy,0.5,2,SYN-CSM-001,20,,1,0.3535533905932738,long_context,7,20,0.75
,,140,lower_is_better,,,,,state_recovery_time,,0,SYN-CSM-001,20,state_recovery_time_only_applicable_to_csm,1,,long_context,7,20,
,,140,higher_is_better,,,,,state_accuracy,,0,SYN-CSM-001,20,state_table_metric_only_applicable_to_csm,1,,rolling_summary,7,20,
