calculation_reason,citation_classification,citation_id,patient,question_id,question_number,resolution_status,resolved_id,system,turn_id
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,8debd3a9-7d56-4f30-8e39-6c382f8eac5f,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C2,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,66a24697-9176-49ad-a3c7-71d68813d9e1,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C3,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,c1b10f0c-5675-4c5f-bffc-f24e9f380099,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C5,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,66e57bbe-fb68-43c7-810c-23a150eaae26,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,e25767af-00d0-4d6e-b3ce-2e327cf2b194,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C8,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,3a49520b-8fee-45f8-934d-9d52db21acf5,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,8debd3a9-7d56-4f30-8e39-6c382f8eac5f,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,8debd3a9-7d56-4f30-8e39-6c382f8eac5f,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,66a24697-9176-49ad-a3c7-71d68813d9e1,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,66a24697-9176-49ad-a3c7-71d68813d9e1,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,c1b10f0c-5675-4c5f-bffc-f24e9f380099,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,c1b10f0c-5675-4c5f-bffc-f24e9f380099,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,66e57bbe-fb68-43c7-810c-23a150eaae26,SYN-CSM-002,30307c8a-cc0c-41c9-82c6-b07cc03afea9,1,resolved,66e57bbe-fb68-43c7-810c-23a150eaae26,dense_rag,0f23168d-3046-46e0-815c-5f1ef08164f3
