applicable,case_id,metric_name,repetition,system,value
True,a37b16e4-aece-444f-9b81-69f1108f17c2,answer_accuracy,1,csm_v3,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,csm_v3,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,csm_v3,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,csm_v3,0.0
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,csm_v3,
False,a37b16e4-aece-444f-9b81-69f1108f17c2,contradiction_handling,1,csm_v3,
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,csm_v3,0.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,correction_recovery,1,csm_v3,0.0
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,csm_v3,
False,a37b16e4-aece-444f-9b81-69f1108f17c2,decision_f1,1,csm_v3,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,csm_v3,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,csm_v3,
True,a37b16e4-aece-444f-9b81-69f1108f17c2,evidence_support_rate,1,csm_v3,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,csm_v3,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,evidence_support_rate,1,csm_v3,0.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,expected_calibration_error,1,csm_v3,0.9312499999999998
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,csm_v3,0.8919999999999999
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,expected_calibration_error,1,csm_v3,0.8566666666666662
True,a37b16e4-aece-444f-9b81-69f1108f17c2,fabricated_citation_rate,1,csm_v3,0.4583333333333333
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,csm_v3,0.47058823529411764
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,fabricated_citation_rate,1,csm_v3,0.4827586206896552
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,faithfulness,1,csm_v3,0.9148936170212766
True,a37b16e4-aece-444f-9b81-69f1108f17c2,faithfulness,1,csm_v3,0.9534883720930233
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,csm_v3,0.7666666666666667
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,groundedness,1,csm_v3,0.9148936170212766
True,a37b16e4-aece-444f-9b81-69f1108f17c2,groundedness,1,csm_v3,0.9534883720930233
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,csm_v3,0.7666666666666667
True,a37b16e4-aece-444f-9b81-69f1108f17c2,hallucination_rate,1,csm_v3,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,csm_v3,1.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,hallucination_rate,1,csm_v3,1.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,lineage_citation_f1,1,csm_v3,0.3076923076923077
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,lineage_citation_f1,1,csm_v3,0.32558139534883723
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,csm_v3,0.23076923076923078
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,csm_v3,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,memory_update_accuracy,1,csm_v3,
False,a37b16e4-aece-444f-9b81-69f1108f17c2,memory_update_accuracy,1,csm_v3,
True,a37b16e4-aece-444f-9b81-69f1108f17c2,p95_latency,1,csm_v3,60708.25000000001
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,csm_v3,32467.850000000002
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,p95_latency,1,csm_v3,68970.95
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,csm_v3,0.35
True,a37b16e4-aece-444f-9b81-69f1108f17c2,retrieval_precision,1,csm_v3,0.35294117647058826
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,retrieval_precision,1,csm_v3,0.43478260869565216
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,retrieval_recall,1,csm_v3,0.7142857142857143
True,a37b16e4-aece-444f-9b81-69f1108f17c2,retrieval_recall,1,csm_v3,0.4
